Source: https://www.kaggle.com/nickhould/craft-cans,,,,,,,,,
License: https://opendatacommons.org/licenses/odbl/1.0/,,,,,,,,,
,,,,,,,,,
beer id,abv,ibu,beer name,beer style,ounces,brewery id,brewery name,city,state
1,0.065,65,Dale's Pale Ale,American Pale Ale (APA),12,166,Oskar Blues Brewery,Longmont, CO
4,0.087,85,Gordon Ale (2009),American Double / Imperial IPA,12,166,Oskar Blues Brewery,Longmont, CO
5,0.08,35,Old Chub,Scottish Ale,12,166,Oskar Blues Brewery,Longmont, CO
6,0.099,100,GUBNA Imperial IPA,American Double / Imperial IPA,12,166,Oskar Blues Brewery,Longmont, CO
7,0.053,35,Mama's Little Yella Pils,Czech Pilsener,12,166,Oskar Blues Brewery,Longmont, CO
8,0.099,98,Ten Fidy Imperial Stout,Russian Imperial Stout,12,166,Oskar Blues Brewery,Longmont, CO
9,0.049,17,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,368,21st Amendment Brewery,San Francisco, CA
10,0.07,65,Brew Free! or Die IPA,American IPA,12,368,21st Amendment Brewery,San Francisco, CA
11,0.083,35,Monk's Blood,Belgian Dark Ale,12,368,21st Amendment Brewery,San Francisco, CA
12,0.062,99,Furious,American IPA,16,61,Surly Brewing Company,Brooklyn Center, MN
13,0.067,33,CynicAle,Saison / Farmhouse Ale,16,61,Surly Brewing Company,Brooklyn Center, MN
14,0.051,20,Hell,Keller Bier / Zwickel Bier,16,61,Surly Brewing Company,Brooklyn Center, MN
15,0.097,120,Abrasive Ale,American Double / Imperial IPA,16,61,Surly Brewing Company,Brooklyn Center, MN
16,0.051,45,Bender,American Brown Ale,16,61,Surly Brewing Company,Brooklyn Center, MN
17,0.051,45,Coffee Bender,American Brown Ale,16,61,Surly Brewing Company,Brooklyn Center, MN
18,0.055,34,SurlyFest,Rye Beer,16,61,Surly Brewing Company,Brooklyn Center, MN
19,0.04,37,Bitter Brewer,English Bitter,16,61,Surly Brewing Company,Brooklyn Center, MN
20,0.051,40,Phoenix Pale Ale,American Pale Ale (APA),12,371,Sly Fox Brewing Company,Pottstown, PA
21,0.049,44,Pikeland Pils,German Pilsener,12,371,Sly Fox Brewing Company,Pottstown, PA
22,0.056,11,Royal Weisse Ale,Hefeweizen,12,371,Sly Fox Brewing Company,Pottstown, PA
23,0.053,21,Dunkel Lager,Munich Dunkel Lager,12,371,Sly Fox Brewing Company,Pottstown, PA
24,0.07,113,113 IPA,American IPA,12,371,Sly Fox Brewing Company,Pottstown, PA
25,0.085,,Siamese twin,Dubbel,16,522,Uncommon Brewers,Santa Cruz, CA
26,0.052,40,Black Noddy Lager (Current),Schwarzbier,16,530,Buckbean Brewing Company,Reno, NV
27,0.058,35,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16,530,Buckbean Brewing Company,Reno, NV
28,0.062,42,Tule Duck Red Ale (Current),American Amber / Red Ale,16,530,Buckbean Brewing Company,Reno, NV
29,0.099,,Very Noddy Lager (Current),Schwarzbier,16,530,Buckbean Brewing Company,Reno, NV
30,0.049,,Urban Wilderness Pale Ale,English Pale Ale,12,557,Sleeping Lady Brewing Company,Anchorage, AK
31,0.062,65,Big Swell IPA,American IPA,12,375,Maui Brewing Company,Lahaina, HI
32,0.057,30,CoCoNut Porter,American Porter,12,375,Maui Brewing Company,Lahaina, HI
33,0.045,18,Bikini Blonde Lager,Munich Helles Lager,12,375,Maui Brewing Company,Lahaina, HI
34,0.051,26,Moose Drool Brown Ale (2009),American Brown Ale,12,336,Big Sky Brewing Company,Missoula, MT
35,0.05,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12,336,Big Sky Brewing Company,Missoula, MT
36,0.061,94,Caldera IPA,American IPA,12,155,Caldera Brewing Company,Ashland, OR
37,0.054,24,Ashland Amber Ale,American Amber / Red Ale,12,155,Caldera Brewing Company,Ashland, OR
38,0.056,55,Caldera Pale Ale (2011),American Pale Ale (APA),12,155,Caldera Brewing Company,Ashland, OR
39,0.062,,Sea Hag IPA (Current),American IPA,12,410,New England Brewing Company,Woodbridge, CT
40,0.05,,Atlantic Amber Ale (2007),American Amber / Red Ale,12,410,New England Brewing Company,Woodbridge, CT
41,0.05,,Elm City Lager (2007),American Pilsner,12,410,New England Brewing Company,Woodbridge, CT
42,0.088,85,Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,16,410,New England Brewing Company,Woodbridge, CT
43,0.09,,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,16,410,New England Brewing Company,Woodbridge, CT
44,0.05,20,Bombshell Blonde,American Blonde Ale,12,118,Southern Star Brewing Company,Conroe, TX
45,0.065,45,Pine Belt Pale Ale,American Pale Ale (APA),16,118,Southern Star Brewing Company,Conroe, TX
46,0.083,50,Buried Hatchet Stout,Foreign / Export Stout,12,118,Southern Star Brewing Company,Conroe, TX
47,0.084,82,Ballz Deep Double IPA,American Double / Imperial IPA,16,481,7 Seas Brewing Company,Gig Harbor, WA
48,0.054,30,British Pale Ale,English Pale Ale,16,481,7 Seas Brewing Company,Gig Harbor, WA
49,0.043,,Porkslap Pale Ale,American Pale Ale (APA),12,556,Butternuts Beer and Ale,Garrattsville, NY
50,0.049,,Moo Thunder Stout,Milk / Sweet Stout,12,556,Butternuts Beer and Ale,Garrattsville, NY
51,0.068,,Snapperhead IPA,American IPA,12,556,Butternuts Beer and Ale,Garrattsville, NY
52,0.049,,Heinnieweisse Weissebier,Hefeweizen,12,556,Butternuts Beer and Ale,Garrattsville, NY
53,0.045,17,Schlafly Summer Lager,Munich Helles Lager,12,428,Schlafly Brewing Company,Saint Louis, MO
54,0.056,50,Osiris Pale Ale (2010),American Pale Ale (APA),16,25,Sun King Brewing Company,Indianapolis, IN
55,0.053,20,Sunlight Cream Ale,Cream Ale,16,25,Sun King Brewing Company,Indianapolis, IN
56,0.056,,Whale's Tale Pale Ale,English Pale Ale,12,145,Cisco Brewers,Nantucket, MA
57,0.051,,Red Jacket Amber Ale,American Amber / Red Ale,12,84,Keweenaw Brewing Company,Houghton, MI
58,0.047,,Pick Axe Blonde Ale,American Blonde Ale,12,84,Keweenaw Brewing Company,Houghton, MI
59,0.05,,Lift Bridge Brown Ale,American Brown Ale,12,84,Keweenaw Brewing Company,Houghton, MI
60,0.052,,Widow Maker Black Ale,American Brown Ale,12,84,Keweenaw Brewing Company,Houghton, MI
61,0.05,,Supper Club Lager,American Pale Lager,12,192,Capital Brewery,Middleton, WI
62,0.05,,U.S. Pale Ale,American Pale Ale (APA),12,192,Capital Brewery,Middleton, WI
63,0.052,,Wisconsin Amber (2013),Vienna Lager,12,192,Capital Brewery,Middleton, WI
64,0.05,,Liquid Amber Ale,American Amber / Red Ale,12,548,Prescott Brewing Company,Prescott, AZ
65,0.052,,Brooklyn Lager (12 oz.),American Amber / Red Lager,12,437,Brooklyn Brewery,Brooklyn, NY
66,0.052,,Brooklyn Lager (16 oz.),American Amber / Red Lager,16,437,Brooklyn Brewery,Brooklyn, NY
67,0.068,65,Modus Hoperandi,American IPA,12,264,Ska Brewing Company,Durango, CO
68,0.057,58,ESB Special Ale,Extra Special / Strong Bitter (ESB),12,264,Ska Brewing Company,Durango, CO
69,0.061,,Euphoria Pale Ale,American Pale Ale (APA),12,264,Ska Brewing Company,Durango, CO
70,0.053,,True Blonde Ale,American Blonde Ale,12,264,Ska Brewing Company,Durango, CO
71,0.052,18,Fat Tire Amber Ale (2008),American Amber / Red Ale,12,82,New Belgium Brewing Company,Fort Collins, CO
72,0.048,,Sunshine Wheat Beer (2009),American Pale Wheat Ale,12,82,New Belgium Brewing Company,Fort Collins, CO
73,0.045,,Real McCoy Amber Ale (Current),American Amber / Red Ale,12,534,Mammoth Brewing Company,Mammoth Lakes, CA
74,0.042,,Golden Trout Pilsner,German Pilsener,12,534,Mammoth Brewing Company,Mammoth Lakes, CA
75,0.065,,Epic IPA,American IPA,12,534,Mammoth Brewing Company,Mammoth Lakes, CA
76,0.055,28,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12,171,Anderson Valley Brewing Company,Boonville, CA
77,0.056,4,Summer Solstice (2011),Cream Ale,12,171,Anderson Valley Brewing Company,Boonville, CA
78,0.058,15,Boont Amber Ale (2011),American Amber / Red Ale,12,171,Anderson Valley Brewing Company,Boonville, CA
79,0.072,,Upslope India Pale Ale,American IPA,12,51,Upslope Brewing Company,Boulder, CO
80,0.058,,Upslope Pale Ale,American Pale Ale (APA),12,51,Upslope Brewing Company,Boulder, CO
81,0.049,35,Hazed & Infused (2010),American Pale Ale (APA),12,417,Boulder Beer Company,Boulder, CO
82,0.052,18,Haywire Hefeweizen (2010),Hefeweizen,16,544,Pyramid Breweries,Seattle, WA
1848,0.078,34,American Red Saison,Saison / Farmhouse Ale,12,294,Black Shirt Brewing Company,Denver, CO
1849,0.071,45,American Red Porter,American Porter,12,294,Black Shirt Brewing Company,Denver, CO
85,0.065,11,Cold Smoke Scotch Ale,Scotch Ale / Wee Heavy,16,510,Kettle House Brewing Company,Missoula, MT
86,0.065,65,Double Haul IPA,American IPA,16,510,Kettle House Brewing Company,Missoula, MT
87,0.055,50,Eddy Out Pale Ale,American Pale Ale (APA),16,510,Kettle House Brewing Company,Missoula, MT
88,0.05,,Viennese Lager,Vienna Lager,12,364,Bohemian Brewery,Midvale, UT
89,0.05,,Czech Pilsner,Czech Pilsener,12,364,Bohemian Brewery,Midvale, UT
90,0.065,65,Third Eye Pale Ale,American IPA,12,119,Steamworks Brewing Company,Durango, CO
91,0.057,25,Steam Engine Lager,American Amber / Red Lager,12,119,Steamworks Brewing Company,Durango, CO
92,0.049,17,Colorado Kölsch,Kölsch,12,119,Steamworks Brewing Company,Durango, CO
94,0.07,,Resurrection,Dubbel,12,262,The Brewer's Art,Baltimore, MD
96,0.055,,Annie's Amber Ale,American Amber / Red Ale,12,500,High Noon Saloon And Brewery,Leavenworth, KS
97,0.055,,Lazy Daze Lager,American Adjunct Lager,12,229,Rochester Mills Brewing Company,Rochester, MI
98,0.055,,Pilsner Ukiah,German Pilsener,12,555,Ukiah Brewing Company,Ukiah, CA
101,0.063,60,Tallgrass IPA,American IPA,16,45,Tallgrass Brewing Company,Manhattan, KS
102,0.05,20,Buffalo Sweat (2010),Milk / Sweet Stout,16,45,Tallgrass Brewing Company,Manhattan, KS
103,0.044,22,Tallgrass Ale,American Brown Ale,16,45,Tallgrass Brewing Company,Manhattan, KS
104,0.072,93,Oasis (2010),American Double / Imperial IPA,16,45,Tallgrass Brewing Company,Manhattan, KS
105,0.05,16,Köld Lager (2010),German Pilsener,16,45,Tallgrass Brewing Company,Manhattan, KS
106,0.055,17,Ellie’s Brown Ale,American Brown Ale,12,37,Avery Brewing Company,Boulder, CO
107,0.063,69,Avery India Pale Ale,American IPA,12,37,Avery Brewing Company,Boulder, CO
108,0.056,10,White Rascal,Witbier,12,37,Avery Brewing Company,Boulder, CO
109,0.045,,Floppin' Crappie,American Pale Wheat Ale,12,529,Northwoods Brewpub,Eau Claire, WI
110,0.055,,BrewFarm Select Golden Lager,American Pale Lager,12,554,Dave's Brewfarm,Wilson, WI
112,0.05,,Fearless Scottish Ale,Scottish Ale,16,201,Fearless Brewing Company,Estacada, OR
