DistrictCode,District,Student group,Headcount,Attendance Rate 
10011,Andover School District,All Students,161,0.9386
10011,Andover School District,Students Without High Needs,113,0.941
10011,Andover School District,Students With High Needs,48,0.9328
20011,Ansonia School District,All Students,2139,0.9045
20011,Ansonia School District,Free Meal Eligible,1192,0.8893
20011,Ansonia School District,Students Without High Needs,528,0.9287
20011,Ansonia School District,Students With High Needs,1545,0.8968
30011,Ashford School District,All Students,343,0.9309
30011,Ashford School District,Free Meal Eligible,92,0.9167
30011,Ashford School District,Students Without High Needs,189,0.9385
30011,Ashford School District,Students With High Needs,145,0.9206
40011,Avon School District,All Students,3057,0.9457
40011,Avon School District,Free Meal Eligible,226,0.9145
40011,Avon School District,Students Without High Needs,2427,0.9517
40011,Avon School District,Students With High Needs,587,0.9221
50011,Barkhamsted School District,All Students,199,0.9305
50011,Barkhamsted School District,Students Without High Needs,124,0.9369
50011,Barkhamsted School District,Students With High Needs,73,0.9191
70011,Berlin School District,All Students,2613,0.9341
70011,Berlin School District,Free Meal Eligible,429,0.9039
70011,Berlin School District,Students Without High Needs,1756,0.9449
70011,Berlin School District,Students With High Needs,841,0.9121
80011,Bethany School District,All Students,391,0.9489
80011,Bethany School District,Students Without High Needs,280,0.9514
80011,Bethany School District,Students With High Needs,105,0.9427
90011,Bethel School District,All Students,3102,0.9375
90011,Bethel School District,Free Meal Eligible,686,0.9225
90011,Bethel School District,Students Without High Needs,1821,0.9447
90011,Bethel School District,Students With High Needs,1216,0.9274
110011,Bloomfield School District,All Students,1734,0.9293
110011,Bloomfield School District,Free Meal Eligible,775,0.918
110011,Bloomfield School District,Students Without High Needs,607,0.9426
110011,Bloomfield School District,Students With High Needs,1090,0.9219
120011,Bolton School District,All Students,745,0.9433
120011,Bolton School District,Free Meal Eligible,149,0.9034
120011,Bolton School District,Students Without High Needs,509,0.9566
120011,Bolton School District,Students With High Needs,228,0.9137
130011,Bozrah School District,All Students,159,0.9433
130011,Bozrah School District,Students Without High Needs,77,0.9461
130011,Bozrah School District,Students With High Needs,80,0.9406
140011,Branford School District,All Students,2527,0.9268
140011,Branford School District,Free Meal Eligible,693,0.9012
140011,Branford School District,Students Without High Needs,1389,0.9389
140011,Branford School District,Students With High Needs,1104,0.913
150011,Bridgeport School District,All Students,18482,0.9008
150011,Bridgeport School District,Students Experiencing Homelessness,123,0.8455
150011,Bridgeport School District,Free Meal Eligible,9915,0.8868
150011,Bridgeport School District,Students Without High Needs,3590,0.9238
150011,Bridgeport School District,Students With High Needs,13849,0.8949
170011,Bristol School District,All Students,7439,0.9251
170011,Bristol School District,Students Experiencing Homelessness,65,0.8904
170011,Bristol School District,Free Meal Eligible,3545,0.9063
170011,Bristol School District,Students Without High Needs,2800,0.949
170011,Bristol School District,Students With High Needs,4510,0.911
180011,Brookfield School District,All Students,2545,0.9368
180011,Brookfield School District,Free Meal Eligible,379,0.9133
180011,Brookfield School District,Students Without High Needs,1721,0.9449
180011,Brookfield School District,Students With High Needs,801,0.9201
190011,Brooklyn School District,All Students,804,0.9204
190011,Brooklyn School District,Free Meal Eligible,206,0.8854
190011,Brooklyn School District,Students Without High Needs,446,0.9394
190011,Brooklyn School District,Students With High Needs,327,0.8959
210011,Canaan School District,All Students,77,0.9431
210011,Canaan School District,Students Without High Needs,50,0.9416
210011,Canaan School District,Students With High Needs,27,0.9458
220011,Canterbury School District,All Students,429,0.9148
220011,Canterbury School District,Free Meal Eligible,89,0.901
220011,Canterbury School District,Students Without High Needs,265,0.9232
220011,Canterbury School District,Students With High Needs,151,0.899
230011,Canton School District,All Students,1462,0.9356
230011,Canton School District,Students Without High Needs,1018,0.9426
230011,Canton School District,Students With High Needs,437,0.9192
240011,Chaplin School District,All Students,143,0.9293
240011,Chaplin School District,Students Without High Needs,69,0.9361
240011,Chaplin School District,Students With High Needs,71,0.9219
250011,Cheshire School District,All Students,4119,0.9466
250011,Cheshire School District,Free Meal Eligible,460,0.921
250011,Cheshire School District,Students Without High Needs,3041,0.954
250011,Cheshire School District,Students With High Needs,1040,0.9259
260011,Chester School District,All Students,214,0.9563
260011,Chester School District,Students Without High Needs,145,0.9607
260011,Chester School District,Students With High Needs,67,0.948
270011,Clinton School District,All Students,1493,0.939
270011,Clinton School District,Free Meal Eligible,400,0.9243
270011,Clinton School District,Students Without High Needs,823,0.9483
270011,Clinton School District,Students With High Needs,655,0.9272
280011,Colchester School District,All Students,2141,0.9318
280011,Colchester School District,Free Meal Eligible,409,0.9128
280011,Colchester School District,Students Without High Needs,1405,0.9409
280011,Colchester School District,Students With High Needs,714,0.9152
290011,Colebrook School District,All Students,75,0.9241
290011,Colebrook School District,Students Without High Needs,44,0.9265
290011,Colebrook School District,Students With High Needs,31,0.9207
300011,Columbia School District,All Students,413,0.9496
300011,Columbia School District,Students Without High Needs,289,0.9515
300011,Columbia School District,Students With High Needs,121,0.9456
310011,Cornwall School District,All Students,105,0.9384
310011,Cornwall School District,Students Without High Needs,61,0.934
310011,Cornwall School District,Students With High Needs,42,0.9447
320011,Coventry School District,All Students,1549,0.9295
320011,Coventry School District,Free Meal Eligible,259,0.8879
320011,Coventry School District,Students Without High Needs,1053,0.9423
320011,Coventry School District,Students With High Needs,484,0.9028
330011,Cromwell School District,All Students,1873,0.9445
330011,Cromwell School District,Free Meal Eligible,381,0.9265
330011,Cromwell School District,Students Without High Needs,1219,0.9532
330011,Cromwell School District,Students With High Needs,651,0.9286
340011,Danbury School District,All Students,11783,0.9166
340011,Danbury School District,Students Experiencing Homelessness,25,0.8891
340011,Danbury School District,Free Meal Eligible,4685,0.9092
340011,Danbury School District,Students Without High Needs,3318,0.9347
340011,Danbury School District,Students With High Needs,7802,0.9098
350011,Darien School District,All Students,4675,0.9553
350011,Darien School District,Free Meal Eligible,47,0.9446
350011,Darien School District,Students Without High Needs,3749,0.9571
350011,Darien School District,Students With High Needs,899,0.9477
360011,Deep River School District,All Students,206,0.9565
360011,Deep River School District,Students Without High Needs,107,0.9627
360011,Deep River School District,Students With High Needs,94,0.9495
370011,Derby School District,All Students,1222,0.8979
370011,Derby School District,Free Meal Eligible,461,0.8761
370011,Derby School District,Students Without High Needs,509,0.9175
370011,Derby School District,Students With High Needs,663,0.884
390011,Eastford School District,All Students,126,0.9387
390011,Eastford School District,Free Meal Eligible,31,0.9277
390011,Eastford School District,Students Without High Needs,77,0.9487
390011,Eastford School District,Students With High Needs,45,0.9271
400011,East Granby School District,All Students,839,0.9301
400011,East Granby School District,Students Without High Needs,602,0.9433
400011,East Granby School District,Students With High Needs,222,0.8951
410011,East Haddam School District,All Students,951,0.9391
410011,East Haddam School District,Free Meal Eligible,198,0.9132
410011,East Haddam School District,Students Without High Needs,616,0.9475
410011,East Haddam School District,Students With High Needs,320,0.9235
420011,East Hampton School District,All Students,1713,0.9413
420011,East Hampton School District,Free Meal Eligible,282,0.903
420011,East Hampton School District,Students Without High Needs,1181,0.9509
420011,East Hampton School District,Students With High Needs,515,0.9195
430011,East Hartford School District,All Students,6126,0.91
430011,East Hartford School District,Free Meal Eligible,3340,0.8912
430011,East Hartford School District,Students Without High Needs,1494,0.9458
430011,East Hartford School District,Students With High Needs,4447,0.8986
440011,East Haven School District,All Students,2660,0.92
440011,East Haven School District,Free Meal Eligible,809,0.8943
440011,East Haven School District,Students Without High Needs,1334,0.9337
440011,East Haven School District,Students With High Needs,1265,0.9055
450011,East Lyme School District,All Students,2597,0.9481
450011,East Lyme School District,Free Meal Eligible,446,0.9353
450011,East Lyme School District,Students Without High Needs,1662,0.9542
450011,East Lyme School District,Students With High Needs,897,0.9371
460011,Easton School District,All Students,875,0.9499
460011,Easton School District,Free Meal Eligible,74,0.9439
460011,Easton School District,Students Without High Needs,668,0.952
460011,Easton School District,Students With High Needs,198,0.9429
470011,East Windsor School District,All Students,971,0.9003
470011,East Windsor School District,Free Meal Eligible,407,0.8742
470011,East Windsor School District,Students Without High Needs,354,0.9283
470011,East Windsor School District,Students With High Needs,596,0.8847
480011,Ellington School District,All Students,2548,0.943
480011,Ellington School District,Free Meal Eligible,352,0.9168
480011,Ellington School District,Students Without High Needs,1837,0.9494
480011,Ellington School District,Students With High Needs,691,0.9272
490011,Enfield School District,All Students,4660,0.9211
490011,Enfield School District,Free Meal Eligible,1640,0.9013
490011,Enfield School District,Students Without High Needs,2183,0.9372
490011,Enfield School District,Students With High Needs,2377,0.9076
500011,Essex School District,All Students,271,0.9496
500011,Essex School District,Students Without High Needs,178,0.9505
500011,Essex School District,Students With High Needs,89,0.9476
510011,Fairfield School District,All Students,9229,0.9385
510011,Fairfield School District,Free Meal Eligible,1072,0.9122
510011,Fairfield School District,Students Without High Needs,6599,0.9452
510011,Fairfield School District,Students With High Needs,2553,0.9214
520011,Farmington School District,All Students,4073,0.9442
520011,Farmington School District,Free Meal Eligible,558,0.9153
520011,Farmington School District,Students Without High Needs,2863,0.9531
520011,Farmington School District,Students With High Needs,1166,0.9237
530011,Franklin School District,All Students,157,0.9376
530011,Franklin School District,Free Meal Eligible,26,0.9169
530011,Franklin School District,Students Without High Needs,120,0.9442
530011,Franklin School District,Students With High Needs,35,0.9172
540011,Glastonbury School District,All Students,5631,0.9509
540011,Glastonbury School District,Free Meal Eligible,509,0.9174
540011,Glastonbury School District,Students Without High Needs,4400,0.9575
540011,Glastonbury School District,Students With High Needs,1179,0.9262
560011,Granby School District,All Students,1726,0.9449
560011,Granby School District,Free Meal Eligible,213,0.9164
560011,Granby School District,Students Without High Needs,1257,0.9513
560011,Granby School District,Students With High Needs,447,0.9276
570011,Greenwich School District,All Students,8471,0.9418
570011,Greenwich School District,Free Meal Eligible,1008,0.9214
570011,Greenwich School District,Students Without High Needs,5998,0.9469
570011,Greenwich School District,Students With High Needs,2328,0.9286
580011,Griswold School District,All Students,1639,0.9234
580011,Griswold School District,Free Meal Eligible,621,0.9031
580011,Griswold School District,Students Without High Needs,706,0.9444
580011,Griswold School District,Students With High Needs,901,0.9086
590011,Groton School District,All Students,4560,0.9144
590011,Groton School District,Free Meal Eligible,1499,0.8919
590011,Groton School District,Students Without High Needs,2001,0.9326
590011,Groton School District,Students With High Needs,2355,0.9014
600011,Guilford School District,All Students,3108,0.9372
600011,Guilford School District,Free Meal Eligible,263,0.9101
600011,Guilford School District,Students Without High Needs,2391,0.9428
600011,Guilford School District,Students With High Needs,696,0.9179
620011,Hamden School District,All Students,5392,0.8962
620011,Hamden School District,Free Meal Eligible,1738,0.8728
620011,Hamden School District,Students Without High Needs,2524,0.9135
620011,Hamden School District,Students With High Needs,2693,0.8813
630011,Hampton School District,All Students,63,0.9111
630011,Hampton School District,Students Without High Needs,32,0.9222
630011,Hampton School District,Students With High Needs,29,0.8977
640011,Hartford School District,All Students,16371,0.8564
640011,Hartford School District,Students Experiencing Homelessness,107,0.7986
640011,Hartford School District,Free Meal Eligible,12011,0.842
640011,Hartford School District,Students Without High Needs,2305,0.9148
640011,Hartford School District,Students With High Needs,13351,0.8469
650011,Hartland School District,All Students,129,0.9383
650011,Hartland School District,Students Without High Needs,86,0.9442
650011,Hartland School District,Students With High Needs,43,0.9272
670011,Hebron School District,All Students,635,0.9527
670011,Hebron School District,Free Meal Eligible,75,0.9448
670011,Hebron School District,Students Without High Needs,476,0.9557
670011,Hebron School District,Students With High Needs,149,0.9462
680011,Kent School District,All Students,195,0.9455
680011,Kent School District,Students Without High Needs,139,0.9537
680011,Kent School District,Students With High Needs,55,0.9244
690011,Killingly School District,All Students,2245,0.9093
690011,Killingly School District,Free Meal Eligible,847,0.8825
690011,Killingly School District,Students Without High Needs,1022,0.931
690011,Killingly School District,Students With High Needs,1161,0.8914
710011,Lebanon School District,All Students,886,0.9386
710011,Lebanon School District,Free Meal Eligible,202,0.9227
710011,Lebanon School District,Students Without High Needs,557,0.9464
710011,Lebanon School District,Students With High Needs,324,0.9254
720011,Ledyard School District,All Students,2424,0.9117
720011,Ledyard School District,Free Meal Eligible,376,0.8859
720011,Ledyard School District,Students Without High Needs,1587,0.9209
720011,Ledyard School District,Students With High Needs,787,0.8937
730011,Lisbon School District,All Students,381,0.9206
730011,Lisbon School District,Students Without High Needs,203,0.9279
730011,Lisbon School District,Students With High Needs,168,0.9156
740011,Litchfield School District,All Students,808,0.9299
740011,Litchfield School District,Free Meal Eligible,103,0.9088
740011,Litchfield School District,Students Without High Needs,562,0.9369
740011,Litchfield School District,Students With High Needs,240,0.913
760011,Madison School District,All Students,2414,0.9593
760011,Madison School District,Free Meal Eligible,66,0.939
760011,Madison School District,Students Without High Needs,1980,0.9605
760011,Madison School District,Students With High Needs,422,0.9537
770011,Manchester School District,All Students,6039,0.8854
770011,Manchester School District,Free Meal Eligible,2922,0.8577
770011,Manchester School District,Students Without High Needs,2050,0.9222
770011,Manchester School District,Students With High Needs,3821,0.8672
780011,Mansfield School District,All Students,948,0.9356
780011,Mansfield School District,Free Meal Eligible,232,0.9057
780011,Mansfield School District,Students Without High Needs,574,0.9478
780011,Mansfield School District,Students With High Needs,352,0.9165
790011,Marlborough School District,All Students,445,0.9462
790011,Marlborough School District,Students Without High Needs,334,0.948
790011,Marlborough School District,Students With High Needs,107,0.9396
800011,Meriden School District,All Students,8476,0.9112
800011,Meriden School District,Free Meal Eligible,5968,0.9028
800011,Meriden School District,Students Without High Needs,1023,0.9437
800011,Meriden School District,Students With High Needs,7250,0.9072
830011,Middletown School District,All Students,4346,0.8941
830011,Middletown School District,Students Experiencing Homelessness,35,0.8319
830011,Middletown School District,Free Meal Eligible,1394,0.867
830011,Middletown School District,Students Without High Needs,2288,0.9132
