Class,Description,Enrollment,Semester,Year,Term,TermNo
MATH216,,36,Spring,2023,Sp23,14
PHYS102,,34,Spring,2023,Sp23,14
PHYS202,,61,Spring,2023,Sp23,14
PHYS101,,37,Fall,2022,F22,13
STAT212,,39,Fall,2022,F22,13
STAT370,,32,Fall,2022,F22,13
STAT412,,16,Fall,2022,F22,13
MATH106,,41,Summer,2022,Su22,12
MATH216,,24,Spring,2022,Sp22,11
MATH220,,47,Spring,2022,Sp22,11
STAT360,,47,Spring,2022,Sp22,11
UNIV199,,7,Spring,2022,Sp22,11
STAT212,,52,Spring,2022,Sp22,11
MATH106,,17,Fall,2021,F21,10
STAT212,,50,Fall,2021,F21,10
STAT412,,15,Fall,2021,F21,10
STAT370,,32,Fall,2021,F21,10
MATH106,,33,Summer,2021,Su21,9
MATH172,,11,Summer,2021,Su21,9
MATH106,,9,Spring,2021,Sp21,8
MATH216,,25,Spring,2021,Sp21,8
PHYS102L,,27,Spring,2021,Sp21,8
STAT212,,53,Spring,2021,Sp21,8
STAT360,,45,Spring,2021,Sp21,8
PHIL201,,12,Fall,2020,F20,7
STAT212,,68,Fall,2020,F20,7
STAT412,,36,Fall,2020,F20,7
STAT370,,15,Fall,2020,F20,7
MATH106,,38,Summer,2020,Su20,6
MATH108,,11,Summer,2020,Su20,6
MATH106,,8,Spring,2020,Sp20,5
MATH216,,31,Spring,2020,Sp20,5
PHIL201,,34,Spring,2020,Sp20,5
STAT360,,54,Spring,2020,Sp20,5
STAT212,,59,Spring,2020,Sp20,5
MATH100,,31,Fall,2019,F19,4
MATH106,,19,Fall,2019,F19,4
STAT370,,34,Fall,2019,F19,4
STAT412,,20,Fall,2019,F19,4
MATH171,,13,Summer,2019,Su19,3
MATH216,,2,Summer,2019,Su19,3
MATH100,,13,Spring,2019,Sp19,2
MATH216,,30,Spring,2019,Sp19,2
PHIL201,,25,Spring,2019,Sp19,2
STAT360,,48,Spring,2019,Sp19,2
MATH100,,31,Fall,2018,F18,1
STAT412,,23,Fall,2018,F18,1
STAT370,,45,Fall,2018,F18,1
MATH220,,50,Fall,2018,F18,1
