UserLanguage,Dem_age,Dem_gender,Dem_edu,Dem_edu_mom,Dem_employment,Country,Dem_Expat,Dem_state,Dem_maritalstatus,Dem_dependents,Dem_riskgroup,Dem_islolation,Dem_isolation_adults,Dem_isolation_kids,AD_gain,AD_loss,AD_check,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_SLON_1,Scale_SLON_2,Scale_SLON_3,OECD_people_1,OECD_people_2,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Trust_countrymeasure,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6
EN,47,Female,Up to 12 years of school,Up to 12 years of school,Not employed,Romania,yes,NA,Divorced/widowed,5,No,Life carries on with minor changes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,20,Female,"College degree, bachelor, master",Up to 12 years of school,Student,United Kingdom,no,Huddersfield,Single,0,Yes,Isolated,2,1,NA,NA,NA,4,5,5,4,2,5,2,1,4,4,2,2,2,2,4,2,3,3,4,4,1,6,5,4,6,6,0,4,3,5,2,1,3
EN,35,Female,"College degree, bachelor, master",College degree,Full time employed,South Africa,no,Gauteng,Single,NA,No,Life carries on with minor changes,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,39,Male,PhD/Doctorate,Some College or equivalent,Full time employed,France,yes,NA,Married/cohabiting,2,No,Life carries on with minor changes,0,2,Program B,NA,No,3,3,2,2,3,4,4,2,3,2,2,1,3,6,9,7,9,9,9,8,7,3,4,3,5,5,7,5,5,5,2,5,4
EN,23,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Germany,yes,Lithuania,Married/cohabiting,0,No,Life carries on with minor changes,1,0,Program B,NA,Yes,2,3,3,4,4,1,4,4,2,1,2,1,1,7,8,8,6,6,9,8,9,1,5,2,4,4,5,6,3,3,3,1,4
EN,34,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Denmark,yes,Romania,Married/cohabiting,0,Yes,Life carries on with minor changes,4,2,Program B,NA,No,2,2,3,4,2,3,3,2,3,2,2,2,2,4,6,7,7,5,5,5,7,4,4,4,4,4,7,5,4,4,3,4,1
EN,41,Female,"College degree, bachelor, master",College degree,Full time employed,Philippines,no,NA,Married/cohabiting,1,No,Life carries on as usual,0,0,Program A,NA,Yes,2,2,2,4,2,2,3,3,2,2,2,1,1,7,7,6,6,8,5,6,3,6,6,6,6,6,4,5,5,5,5,4,3
EN,60,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Full time employed,Australia,no,NSW,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,Program B,NA,No,3,2,2,4,3,1,4,3,2,1,1,1,4,6,9,7,9,6,9,1,9,2,3,2,1,6,5,6,6,6,6,2,1
EN,40,Female,PhD/Doctorate,PhD/Doctorate,Full time employed,Sweden,yes,Linköping,Divorced/widowed,0,No,Isolated,1,0,Program B,NA,Yes,3,4,5,3,3,4,3,2,4,3,1,2,4,8,10,8,9,7,2,6,1,5,5,5,6,6,0,6,3,5,2,1,3
EN,37,Female,PhD/Doctorate,Up to 6 years of school,Self-employed,United Kingdom,yes,Cornwall,Single,0,No,Life carries on with minor changes,NA,NA,Program A,NA,Yes,3,2,3,4,4,3,3,4,3,2,2,2,3,7,9,1,0,1,6,1,0,6,6,6,5,5,1,4,5,6,3,4,4
