Class,Enrollment,Semester,Year,Term,TermNo,Q1,Q2,Q3
MATH216,36,Spring,2023,Sp23,14,4.5,4.5,4.5
PHYS102,34,Spring,2023,Sp23,14,4.9,4.6,4.4
PHYS202,61,Spring,2023,Sp23,14,4.8,4.5,4.3
PHYS101,37,Fall,2022,F22,13,4.8,4.4,4.3
STAT212,39,Fall,2022,F22,13,4.5,4.3,4.3
STAT370,32,Fall,2022,F22,13,4.7,4.6,4.2
STAT412,16,Fall,2022,F22,13,4.7,4.7,4.7
MATH106,41,Summer,2022,Su22,12,4.6,4.3,4.5
MATH216,24,Spring,2022,Sp22,11,4.7,4.5,4.5
MATH220,47,Spring,2022,Sp22,11,,,
STAT360,47,Spring,2022,Sp22,11,4.8,4.3,4.2
UNIV199,7,Spring,2022,Sp22,11,,,
STAT212,52,Spring,2022,Sp22,11,4.8,4.7,4.4
MATH106,17,Fall,2021,F21,10,4.8,4.8,4.6
STAT212,50,Fall,2021,F21,10,4.8,4.7,4.3
STAT412,15,Fall,2021,F21,10,5,4.9,4.9
STAT370,32,Fall,2021,F21,10,4.7,4.3,4.2
MATH106,33,Summer,2021,Su21,9,5,4.7,4.7
MATH172,11,Summer,2021,Su21,9,5,4.3,4.7
MATH106,9,Spring,2021,Sp21,8,5,4.7,4.7
MATH216,25,Spring,2021,Sp21,8,4.9,4.8,4.6
PHYS102L,27,Spring,2021,Sp21,8,,,
STAT212,53,Spring,2021,Sp21,8,4.8,4.7,4.4
STAT360,45,Spring,2021,Sp21,8,4.9,4.6,4.5
PHIL201,12,Fall,2020,F20,7,5,5,5
STAT212,68,Fall,2020,F20,7,4.8,4.6,4.4
STAT412,36,Fall,2020,F20,7,5,4.7,4.7
STAT370,15,Fall,2020,F20,7,4.9,4.7,4.5
MATH106,38,Summer,2020,Su20,6,5,4.8,5
MATH108,11,Summer,2020,Su20,6,5,4.8,4.5
MATH106,8,Spring,2020,Sp20,5,4.8,4.2,4.8
MATH216,31,Spring,2020,Sp20,5,4.8,4.5,4.5
PHIL201,34,Spring,2020,Sp20,5,5,4.6,4.6
STAT360,54,Spring,2020,Sp20,5,4.8,4.6,4.4
STAT212,59,Spring,2020,Sp20,5,5,4.8,4.7
MATH100,31,Fall,2019,F19,4,4.5,4.4,4.4
MATH106,19,Fall,2019,F19,4,5,4.8,4.6
STAT370,34,Fall,2019,F19,4,4.9,4.4,4.2
STAT412,20,Fall,2019,F19,4,4.8,4.3,4.3
MATH171,13,Summer,2019,Su19,3,4.8,4.8,4.8
MATH216,2,Summer,2019,Su19,3,,,
MATH100,13,Spring,2019,Sp19,2,5,4.8,5
MATH216,30,Spring,2019,Sp19,2,4.7,4.5,4.7
PHIL201,25,Spring,2019,Sp19,2,4.8,4.7,4.3
STAT360,48,Spring,2019,Sp19,2,4.3,4,3.5
MATH100,31,Fall,2018,F18,1,4.6,4.6,4.6
STAT412,23,Fall,2018,F18,1,4.6,3.9,4.1
STAT370,45,Fall,2018,F18,1,4.7,4.3,4.2
MATH220,50,Fall,2018,F18,1,4.8,4.2,4.3
