Parcel#,NBHD,SaleDate,Sale_Price,APRatio,DeedType,Excise#,YR_BLT,STYL,SQ_FT,QUAL,COND
126150423,411,6/18/2018,477060,82.50%,SWD,58934,2018,1,2710,Good,Avg
123420011,412,10/30/2018,210000,94.47%,SWD,60167,1956,1,1500,Fair,Fair+
123460102,412,7/13/2018,355000,85.15%,SWD,59162,2010,1,1722,Avg,Avg
126190292,411,6/26/2018,555000,120.73%,SWD,59000,2003,1,4334,Avg,Fair+
115180209,411,3/13/2018,396900,86.74%,SWD,58175,2018,1,2034,Avg+,Avg
115180155,411,2/22/2018,355726,104.32%,SWD,57963,2018,1,2137,Avg+,Avg
126151279,411,9/6/2018,549000,76.06%,SWD,59652,2007,1,2243,Avg+,Avg
115180180,411,3/19/2018,371932,100.01%,SWD,58126,2017,1,2264,Avg+,Avg
124051132,411,7/24/2018,549000,92.07%,SWD,59289,2002,1,2269,Avg+,Avg
126150313,411,10/22/2018,427500,89.91%,SWD,60269,2015,1,2328,Avg+,Avg
126150214,411,7/6/2018,499900,81.21%,SWD,59081,2008,1,2378,Avg+,Avg
115180188,411,2/20/2018,476000,85.63%,SWD,60652,2018,1,2681,Avg+,Avg
121170134,412,1/30/2018,450000,102.51%,SWD,57807,1991,1,2716,Avg+,Avg
115180158,411,3/5/2018,418274,103.25%,SWD,58106,2018,1,1916,Good,Avg
115180189,411,8/22/2018,440000,90.29%,SWD,59547,2018,1,2022,Good,Avg
126153015,411,5/29/2018,452255,93.46%,SWD,58728,2018,1,2037,Good,Avg
126150433,411,5/30/2018,386004,97.97%,SWD,58775,2018,1,2050,Good,Avg
126150301,411,3/19/2018,495000,86.68%,SWD,58160,2015,1,2057,Good,Avg
126150476,411,7/3/2018,406000,93.66%,SWD,59077,2018,1,2082,Good,Avg
126150402,411,9/5/2018,432500,88.16%,SWD,59685,2018,1,2123,Good,Avg
126150475,411,5/9/2018,400900,93.93%,SWD,58596,2018,1,2128,Good,Avg
126150420,411,10/25/2018,419319,92.93%,SWD,60229,2018,1,2132,Good,Avg
126150422,411,10/25/2018,425929,92.08%,SWD,60129,2018,1,2132,Good,Avg
126150414,411,10/30/2018,396114,99.66%,SWD,60168,2018,1,2132,Good,Avg
126150432,411,7/13/2018,408950,98.03%,SWD,59129,2018,1,2134,Good,Avg
126150421,411,6/21/2018,399950,98.78%,SWD,59011,2018,1,2137,Good,Avg
