Student,SAT Verbal,SAT Math,SAT Total,College GPA,Predicted GPA,Error,Error Squared
1,680,554,1234,3.42,2.8647,0.5553,0.30835809
2,486,562,1048,2.37,2.4741,-0.1041,0.01083681
3,500,564,1064,2.52,2.5077,0.0123,0.00015129
4,501,564,1065,2.25,2.5098,-0.2598,0.06749604
5,503,583,1086,2.9,2.5539,0.3461,0.11978521
6,503,571,1074,3.17,2.5287,0.6413,0.41126569
7,603,667,1270,2.76,2.9403,-0.1803,0.03250809
8,507,552,1059,2.21,2.4972,-0.2872,0.08248384
9,607,554,1161,2.27,2.7114,-0.4414,0.19483396
10,509,654,1163,3.2,2.7156,0.4844,0.23464336
11,510,583,1093,2.83,2.5686,0.2614,0.06832996
12,612,558,1170,2.91,2.7303,0.1797,0.03229209
13,517,568,1085,2.74,2.5518,0.1882,0.03541924
14,519,668,1187,3.21,2.766,0.444,0.197136
15,528,607,1135,2.4,2.6568,-0.2568,0.06594624
16,528,516,1044,3.41,2.4657,0.9443,0.89170249
17,536,559,1095,2.24,2.5728,-0.3328,0.11075584
18,668,648,1316,3.47,3.0369,0.4331,0.18757561
19,648,580,1228,2.7,2.8521,-0.1521,0.02313441
20,538,554,1092,2.8,2.5665,0.2335,0.05452225
21,638,624,1262,3.08,2.9235,0.1565,0.02449225
22,541,568,1109,2.08,2.6022,-0.5222,0.27269284
23,642,660,1302,3.39,3.0075,0.3825,0.14630625
24,542,554,1096,2.34,2.5749,-0.2349,0.05517801
25,593,664,1257,2.35,2.913,-0.563,0.316969
26,643,571,1214,2.4,2.8227,-0.4227,0.17867529
27,548,573,1121,3.2,2.6274,0.5726,0.32787076
28,548,574,1122,2.59,2.6295,-0.0395,0.00156025
29,549,557,1106,2.37,2.5959,-0.2259,0.05103081
30,549,564,1113,2.34,2.6106,-0.2706,0.07322436
