Foam,Scent,Color,Residue,Region,Quality 
6.3,5.3,4.8,3.1,1,91
4.4,4.9,3.5,3.9,1,87
3.9,5.3,4.8,4.7,1,82
5.1,4.2,3.1,3.6,1,83
5.6,5.1,5.5,5.1,1,83
4.6,4.7,5.1,4.1,1,84
4.8,4.8,4.8,3.3,1,90
6.5,4.5,4.3,5.2,1,84
8.7,4.3,3.9,2.9,1,97
8.3,3.9,4.7,3.9,1,93
5.1,4.3,4.5,3.6,1,82
3.3,5.4,4.3,3.6,1,84
5.9,5.7,7.2,4.1,2,87
7.7,6.6,6.7,5.6,2,80
7.1,4.4,5.8,4.1,2,84
5.5,5.6,5.6,4.4,2,84
6.3,5.4,4.8,4.6,2,82
4.3,5.5,5.5,4.1,2,79
4.6,4.1,4.3,3.1,2,81
3.4,5,3.4,3.4,2,83
6.4,5.4,6.6,4.8,2,81
5.5,5.3,5.3,3.8,2,84
4.7,4.1,5,3.7,2,83
4.1,4,4.1,4,2,80
