,adhesion,adhType
1,11.39826736,A
2,7.692012055,A
3,7.857647904,A
4,5.228280757,A
5,9.65794157,A
6,10.40133459,A
7,5.699162868,A
8,8.862793862,A
9,9.03267569,A
10,9.120055402,A
11,11.00257454,A
12,6.487319423,A
13,5.244953194,A
14,4.870498176,A
15,6.020802685,A
16,6.005459562,A
17,7.002834743,A
18,9.27620513,A
19,8.853403518,A
20,9.395733882,A
21,4.565564526,A
22,10.29649975,A
23,7.281461457,A
24,12.77062775,A
25,7.116516631,A
26,7.676540598,A
27,8.553436436,A
28,7.885136012,A
29,9.002346732,A
30,5.92522068,A
31,2.15176413,A
32,9.68806974,A
33,15.34004875,B
33,9.449278183,B
33,14.9273496,B
33,12.86439385,B
33,13.28257502,B
33,12.7257494,B
33,12.20620365,B
33,11.59602889,B
33,14.15672357,B
33,15.0583921,B
33,15.90672685,B
33,14.90535138,B
33,14.32235643,B
33,12.14134597,B
33,13.87483809,B
33,14.91105512,B
33,16.0172482,B
33,16.83042768,B
33,13.2266099,B
33,10.33503984,B
33,17.47229839,B
33,15.61993255,B
33,11.97724207,B
33,14.47688778,B
33,14.82994459,B
