"","sampleNumber","config1","config2","element"
"1",1,32.67,37.3,"Zn"
"2",2,45.37,48.52,"Zn"
"3",3,60.31,63.07,"Zn"
"4",4,65.21,69.31,"Zn"
"5",5,54.19,57.51,"Zn"
"6",6,57.88,60.67,"Zn"
"7",7,47.95,51.25,"Zn"
"8",8,45.85,48.49,"Zn"
"9",9,44.25,46.63,"Zn"
"10",10,46.24,47.67,"Zn"
"11",11,30.25,32.74,"Zn"
"12",12,37.91,40.91,"Zn"
"13",13,61.44,63.79,"Zn"
"14",14,36.4,39.27,"Zn"
"15",15,65.96,70.87,"Zn"
"16",16,39.17,41.62,"Zn"
"17",17,36.41,37.37,"Zn"
"18",18,41.25,44.13,"Zn"
"19",19,53.45,56.82,"Zn"
"20",20,36.39,38,"Zn"
"21",21,28.64,31.58,"Zn"
"22",22,44.07,47.98,"Zn"
"23",23,37.32,39.4,"Zn"
"24",24,36.03,38.05,"Zn"
"25",25,53.38,56.56,"Zn"
"26",26,49.27,51.31,"Zn"
"27",27,52.43,55.11,"Zn"
"28",28,51.91,55.47,"Zn"
"29",29,44.08,46.85,"Zn"
"30",30,49.57,51.73,"Zn"
"31",31,49.67,51.9,"K"
"32",32,50.38,53.91,"K"
"33",33,51.44,55.38,"K"
"34",34,35.05,37.82,"K"
"35",35,34.46,35.43,"K"
"36",36,56.14,56.91,"K"
"37",37,38.59,42.27,"K"
"38",38,49.61,53.36,"K"
"39",39,49.57,51.24,"K"
"40",40,46.38,49.41,"K"
"41",41,38.98,42.54,"K"
"42",42,45.5,50.17,"K"
"43",43,34.09,37.44,"K"
"44",44,42.2,46,"K"
"45",45,51.56,55.23,"K"
"46",46,28.98,30.29,"K"
"47",47,39.05,42.58,"K"
"48",48,45.99,49.35,"K"
"49",49,42.6,46.11,"K"
"50",50,53.85,58.08,"K"
"51",51,53.98,58.36,"K"
"52",52,51.23,55.48,"K"
"53",53,45.53,49.12,"K"
"54",54,36.61,39.8,"K"
"55",55,48.34,49.72,"K"
"56",56,45.51,47.25,"K"
"57",57,48.99,53.84,"K"
"58",58,40.46,42.97,"K"
"59",59,47.15,50.06,"K"
"60",60,43.8,45.2,"K"
