Frequency,Kchazabite,Znchazabite
1000000,3.00E-03,1.98E-03
837677.7,2.83E-03,1.74E-03
701703.8,2.69E-03,1.54E-03
587801.6,2.59E-03,1.38E-03
492388.3,2.50E-03,1.25E-03
412462.6,2.43E-03,1.14E-03
345510.7,2.38E-03,1.06E-03
289426.6,2.33E-03,9.88E-04
242446.2,2.30E-03,9.34E-04
203091.8,2.27E-03,8.91E-04
170125.4,2.24E-03,8.56E-04
142510.3,2.22E-03,8.28E-04
119377.7,2.20E-03,8.05E-04
100000,2.19E-03,7.86E-04
83767.77,2.17E-03,7.70E-04
70170.38,2.16E-03,7.56E-04
58780.16,2.14E-03,7.45E-04
49238.83,2.13E-03,7.33E-04
41246.27,2.12E-03,7.23E-04
34551.07,2.10E-03,7.14E-04
28942.66,2.08E-03,7.04E-04
24244.62,2.07E-03,6.96E-04
20309.18,2.05E-03,6.87E-04
17012.54,2.03E-03,6.79E-04
14251.03,2.02E-03,6.71E-04
11937.77,2.00E-03,6.63E-04
10000,1.98E-03,6.56E-04
8376.776,1.96E-03,6.48E-04
7017.038,1.94E-03,6.40E-04
5878.016,1.92E-03,6.33E-04
4923.882,1.89E-03,6.24E-04
4124.626,1.87E-03,6.16E-04
3455.107,1.85E-03,6.08E-04
2894.266,1.82E-03,5.99E-04
2424.462,1.80E-03,5.90E-04
2030.918,1.77E-03,5.81E-04
1701.254,1.74E-03,5.71E-04
1425.103,1.71E-03,5.61E-04
1193.777,1.67E-03,5.51E-04
1000,1.64E-03,5.40E-04
837.6777,1.61E-03,5.28E-04
701.7039,1.58E-03,5.16E-04
587.8016,1.54E-03,5.04E-04
492.3883,1.50E-03,4.91E-04
412.4626,1.47E-03,4.79E-04
345.5107,1.43E-03,4.65E-04
289.4266,1.39E-03,4.51E-04
242.4462,1.35E-03,4.37E-04
203.0918,1.31E-03,4.22E-04
170.1254,1.27E-03,4.07E-04
142.5103,1.23E-03,3.93E-04
119.3777,1.18E-03,3.78E-04
100,1.14E-03,3.62E-04
83.76776,1.10E-03,3.48E-04
70.17039,1.06E-03,3.34E-04
58.78016,1.02E-03,3.20E-04
49.23883,9.77E-04,3.07E-04
41.24626,9.39E-04,2.94E-04
34.55107,9.00E-04,2.82E-04
28.94266,8.63E-04,2.71E-04
24.24462,8.26E-04,2.60E-04
20.30918,7.92E-04,2.50E-04
17.01254,7.59E-04,2.41E-04
14.25103,7.28E-04,2.32E-04
11.93777,6.98E-04,2.24E-04
10,6.70E-04,2.16E-04
8.376777,6.43E-04,2.09E-04
7.017038,6.18E-04,2.02E-04
5.878016,5.94E-04,1.95E-04
4.923882,5.71E-04,1.89E-04
4.124626,5.50E-04,1.83E-04
3.455107,5.29E-04,1.78E-04
2.894266,5.10E-04,1.72E-04
2.424462,4.91E-04,1.67E-04
2.030918,4.73E-04,1.62E-04
1.701254,4.55E-04,1.58E-04
1.425103,4.38E-04,1.53E-04
1.193777,4.22E-04,1.49E-04
1,4.06E-04,1.44E-04
0.8376777,3.90E-04,1.40E-04
0.7017038,3.75E-04,1.35E-04
0.5878016,3.60E-04,1.31E-04
0.4923882,3.44E-04,1.27E-04
0.4124627,3.29E-04,1.23E-04
0.3455108,3.15E-04,1.19E-04
0.2894266,3.01E-04,1.15E-04
0.2424462,2.88E-04,1.12E-04
0.2030918,2.75E-04,1.07E-04
0.1701254,2.63E-04,1.04E-04
0.1425103,2.50E-04,1.01E-04
0.1193777,2.40E-04,9.72E-05
0.1,2.27E-04,9.46E-05
