"","weight","Time","Chick","Diet"
"12",205,21,"1","1"
"24",215,21,"2","1"
"36",202,21,"3","1"
"48",157,21,"4","1"
"60",223,21,"5","1"
"72",157,21,"6","1"
"84",305,21,"7","1"
"107",98,21,"9","1"
"119",124,21,"10","1"
"131",175,21,"11","1"
"143",205,21,"12","1"
"155",96,21,"13","1"
"167",266,21,"14","1"
"194",142,21,"17","1"
"208",157,21,"19","1"
"220",117,21,"20","1"
"232",331,21,"21","2"
"244",167,21,"22","2"
"256",175,21,"23","2"
"268",74,21,"24","2"
"280",265,21,"25","2"
"292",251,21,"26","2"
"304",192,21,"27","2"
"316",233,21,"28","2"
"328",309,21,"29","2"
"340",150,21,"30","2"
"352",256,21,"31","3"
"364",305,21,"32","3"
"376",147,21,"33","3"
"388",341,21,"34","3"
"400",373,21,"35","3"
"412",220,21,"36","3"
"424",178,21,"37","3"
"436",290,21,"38","3"
"448",272,21,"39","3"
"460",321,21,"40","3"
"472",204,21,"41","4"
"484",281,21,"42","4"
"496",200,21,"43","4"
"518",196,21,"45","4"
"530",238,21,"46","4"
"542",205,21,"47","4"
"554",322,21,"48","4"
"566",237,21,"49","4"
"578",264,21,"50","4"
