"","school","class","score"
"1","S1","Math",14.8
"2","S1","Math",18.61
"3","S1","Math",23.09
"4","S1","Math",24.56
"5","S1","Math",21.26
"6","S1","Math",22.37
"7","S1","Math",19.39
"8","S1","Math",18.76
"9","S1","Math",18.28
"10","S1","Math",18.87
"11","S2","Math",14.08
"12","S2","Math",16.37
"13","S2","Math",23.43
"14","S2","Math",15.92
"15","S2","Math",24.79
"16","S2","Math",16.75
"17","S2","Math",15.92
"18","S2","Math",17.38
"19","S2","Math",21.04
"20","S2","Math",15.92
"21","S1","Writing",11.59
"22","S1","Writing",16.22
"23","S1","Writing",14.2
"24","S1","Writing",13.81
"25","S1","Writing",19.01
"26","S1","Writing",17.78
"27","S1","Writing",18.73
"28","S1","Writing",18.57
"29","S1","Writing",16.23
"30","S1","Writing",17.87
"31","S2","Writing",20
"32","S2","Writing",20.31
"33","S2","Writing",20.76
"34","S2","Writing",13.74
"35","S2","Writing",13.48
"36","S2","Writing",22.78
"37","S2","Writing",15.25
"38","S2","Writing",19.98
"39","S2","Writing",19.96
"40","S2","Writing",18.59
"41","S1","Critical Reading",21.42
"42","S1","Critical Reading",24.21
"43","S1","Critical Reading",19.32
"44","S1","Critical Reading",22.8
"45","S1","Critical Reading",26.81
"46","S1","Critical Reading",17.13
"47","S1","Critical Reading",21.45
"48","S1","Critical Reading",24.42
"49","S1","Critical Reading",22.97
"50","S1","Critical Reading",27.79
"51","S2","Critical Reading",22.82
"52","S2","Critical Reading",23.16
"53","S2","Critical Reading",18.77
"54","S2","Critical Reading",16.51
"55","S2","Critical Reading",27.67
"56","S2","Critical Reading",19.06
"57","S2","Critical Reading",16.08
"58","S2","Critical Reading",18.18
"59","S2","Critical Reading",22.53
"60","S2","Critical Reading",15.82
