Vendor, Model, mcyt, mmin, mmax, cach, chmin, chmax, prp, erp 
ibm,3033:s,57,4000,16000,1,6,12,132,82
ibm,3033:u,57,4000,24000,64,12,16,237,171
ibm,3081,26,16000,32000,64,16,24,465,361
ibm,3081:d,26,16000,32000,64,8,24,465,350
ibm,3083:b,26,8000,32000,0,8,24,277,220
ibm,3083:e,26,8000,16000,0,8,16,185,113
ibm,370/125-2,480,96,512,0,1,1,6,15
ibm,370/148,203,1000,2000,0,1,5,24,21
ibm,370/158-3,115,512,6000,16,1,6,45,35
ibm,38/3,1100,512,1500,0,1,1,7,18
ibm,38/4,1100,768,2000,0,1,1,13,20
ibm,38/5,600,768,2000,0,1,1,16,20
ibm,38/7,400,2000,4000,0,1,1,32,28
ibm,38/8,400,4000,8000,0,1,1,32,45
ibm,4321,900,1000,1000,0,1,2,11,18
ibm,4331-1,900,512,1000,0,1,2,11,17
ibm,4331-11,900,1000,4000,4,1,2,18,26
ibm,4331-2,900,1000,4000,8,1,2,22,28
ibm,4341,900,2000,4000,0,3,6,37,28
ibm,4341-1,225,2000,4000,8,3,6,40,31
ibm,4341-10,225,2000,4000,8,3,6,34,31
ibm,4341-11,180,2000,8000,8,1,6,50,42
ibm,4341-12,185,2000,16000,16,1,6,76,76
ibm,4341-2,180,2000,16000,16,1,6,66,76
ibm,4341-9,225,1000,4000,2,3,6,24,26
ibm,4361-4,25,2000,12000,8,1,4,49,59
ibm,4361-5,25,2000,12000,16,3,5,66,65
ibm,4381-1,17,4000,16000,8,6,12,100,101
ibm,4381-2,17,4000,16000,32,6,12,133,116
ibm,8130-a,1500,768,1000,0,0,0,12,18
ibm,8130-b,1500,768,2000,0,0,0,18,20
ibm,8140,800,768,2000,0,0,0,20,20
honeywell,dps:6/35,330,1000,3000,0,2,4,16,23
honeywell,dps:6/92,300,1000,4000,8,3,64,38,30
honeywell,dps:6/96,300,1000,16000,8,2,112,38,73
honeywell,dps:7/35,330,1000,2000,0,1,2,16,20
honeywell,dps:7/45,330,1000,4000,0,3,6,22,25
honeywell,dps:7/55,140,2000,4000,0,3,6,29,28
honeywell,dps:7/65,140,2000,4000,0,4,8,40,29
honeywell,dps:8/44,140,2000,4000,8,1,20,35,32
honeywell,dps:8/49,140,2000,32000,32,1,20,134,175
honeywell,dps:8/50,140,2000,8000,32,1,54,66,57
honeywell,dps:8/52,140,2000,32000,32,1,54,141,181
honeywell,dps:8/62,140,2000,32000,32,1,54,189,181
honeywell,dps:8/20,140,2000,4000,8,1,20,22,32
nas,as/3000,115,2000,8000,16,1,3,50,46
nas,as/3000-n,115,2000,4000,2,1,5,40,29
nas,as/5000,92,2000,8000,32,1,6,62,53
nas,as/5000-e,92,2000,8000,32,1,6,60,53
nas,as/5000-n,92,2000,8000,4,1,6,50,41
nas,as/6130,75,4000,16000,16,1,6,66,86
nas,as/6150,60,4000,16000,32,1,6,86,95
nas,as/6620,60,2000,16000,64,5,8,74,107
nas,as/6630,60,4000,16000,64,5,8,93,117
nas,as/6650,50,4000,16000,64,5,10,111,119
nas,as/7000,72,4000,16000,64,8,16,143,120
nas,as/7000-n,72,2000,8000,16,6,8,105,48
nas,as/8040,40,8000,16000,32,8,16,214,126
nas,as/8050,40,8000,32000,64,8,24,277,266
nas,as/8060,35,8000,32000,64,8,24,370,270
nas,as/9000-dpc,38,16000,32000,128,16,32,510,426
nas,as/9000-n,48,4000,24000,32,8,24,214,151
nas,as/9040,38,8000,32000,64,8,24,326,267
nas,as/9060,30,16000,32000,256,16,24,510,603
ncr,v8535:ii,112,1000,1000,0,1,4,8,19
ncr,v8545:ii,84,1000,2000,0,1,6,12,21
ncr,v8555:ii,56,1000,4000,0,1,6,17,26
ncr,v8565:ii,56,2000,6000,0,1,8,21,35
ncr,v8565:ii-e,56,2000,8000,0,1,8,24,41
ncr,v8575:ii,56,4000,8000,0,1,8,34,47
ncr,v8585:ii,56,4000,12000,0,1,8,42,62
ncr,v8595:ii,56,4000,16000,0,1,8,46,78
ncr,v8635,38,4000,8000,32,16,32,51,80
ncr,v8650,38,4000,8000,32,16,32,116,80
ncr,v8655,38,8000,16000,64,4,8,100,142
ncr,v8665,38,8000,24000,160,4,8,140,281
ncr,v8670,38,4000,16000,128,16,32,212,190
amdahl,470v/7,29,8000,32000,32,8,32,269,253
amdahl,470v/7a,29,8000,32000,32,8,32,220,253
amdahl,470v/7b,29,8000,32000,32,8,32,172,253
amdahl,470v/7c,29,8000,16000,32,8,16,132,132
amdahl,470v/b,26,8000,32000,64,8,32,318,290
amdahl,580-5840,23,16000,32000,64,16,32,367,381
amdahl,580-5850,23,16000,32000,64,16,32,489,381
amdahl,580-5860,23,16000,64000,64,16,32,636,749
amdahl,580-5880,23,32000,64000,128,32,64,1144,1238
