Dam Name,NID ID,Owner Types,Primary Owner Type,Number of Associated Structures,Primary Purpose,Latitude,Longitude,State,Distance to Nearest City (Miles),State Regulated Dam,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Inspection Frequency,Hazard Potential Classification,Condition Assessment,Inundation Maps Added to NID?
Bull Shoals Dam,AR00160,Federal,Federal,0,Flood Risk Reduction,36.36598692,-92.57523109,Arkansas,,No,Yes,,Concrete,Concrete;Gravity,Concrete,Rock,256,238,282,282,Greater than 100 feet,2256,2100000,1951,1950-1959,5408000,5408000,3048000,454400,6063,500000,Controlled,680,5,High,Not Available,Yes
Flatiron Dam,CO01654,Federal,Federal,0,Hydroelectric,40.3729,-105.2286,Colorado,7,Yes,Yes,No,Earth,Earth,,,86,55,86,86,51-100 feet,1725,381500,1953,1950-1959,1136,1136,760,381500,7.06,23600,Uncontrolled,75,4,High,Not Available,No
Lower Red Lake Dam,MN00573,Federal,Federal,0,Other,47.959831,-95.27462255,Minnesota,71,No,Yes,,Earth,Earth,Earth,Soil,15,13,17,17,Less than 25 feet,36500,140300,1931,1930-1939,3428000,3428000,1210000,288640,1921,3700,Controlled,64,5,Low,Not Available,N/A
Hoover Dam,NV10122,Federal,Federal,0,Hydroelectric,36.0163,-114.7374,Nevada,70,No,Yes,No,Concrete,Concrete;Arch;Gravity,,,730,592,726,730,Greater than 100 feet,1244,3250000,1935,1930-1939,30237000,30237000,28255000,162700,167800,135000,Controlled,64,4,High,Not Available,No
Glen Canyon Dam,AZ10307,Federal,Federal,0,Hydroelectric,36.9379,-111.4842,Arizona,15,No,Yes,No,Concrete,Concrete;Arch,,,710,583,710,710,Greater than 100 feet,1565,4901000,1963,1960-1969,25025826,25025826,,160784,107416.9,276000,Controlled,160,4,High,Not Available,No
Kentucky Dam,KY05017,Federal,Federal,0,Flood Risk Reduction,37.012498,-88.270105,Kentucky,4,No,Yes,No,Concrete,Concrete;Earth;Gravity,Earth,Rock;Soil,206,130,206,206,Greater than 100 feet,8422,6938100,1944,1940-1949,7535400,7535400,6127470,160300,40200,775000,Controlled,960,2,High,Not Available,No
Eufaula Dam,OK10308,Federal,Federal,0,Flood Risk Reduction,35.30449621,-95.36025232,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock;Soil,114,106,114,114,Greater than 100 feet,3200,3850600,1964,1960-1969,3825400,3825400,2314600,143000,8405,465000,Controlled,520,5,High,Not Available,Yes
Leech Dam,MN00585,Federal,Federal,0,Recreation,47.24779984,-94.22169124,Minnesota,1,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,13,11,13,13,Less than 25 feet,3314,0,1885,Before 1900,680000,680000,490000,117500,1163,1500,Controlled,152,5,Significant,Not Available,Yes
Falcon Dam,TX00024,Federal,Federal,0,Flood Risk Reduction,26.55900002,-99.16699982,Texas,20,No,Yes,No,Concrete,Concrete;Earth,Earth,Rock,150,141,175,175,Greater than 100 feet,26294,13242000,1953,1950-1959,3177000,3177000,2668000,115400,159270,456000,Controlled,350,5,High,Fair,No
Sam Rayburn Dam,TX00011,Federal,Federal,0,Flood Risk Reduction,31.06445615,-94.09252964,Texas,,No,Yes,,Earth,Earth,Earth,Rock;Soil,120,113,130,130,Greater than 100 feet,12400,6000000,1965,1960-1969,6520000,6520000,2898200,114500,3449,227700,Uncontrolled,680,5,High,Not Available,Yes
Amistad Dam,TX02296,Federal,Federal,0,Flood Risk Reduction,29.449826,-101.057032,Texas,12,No,Yes,No,Concrete,Concrete;Earth,Earth,Rock,254,247,287,287,Greater than 100 feet,32022,17055000,1969,1960-1969,5128000,5128000,3384000,89000,123134,1507000,Controlled,800,5,High,Poor,No
Denison Dam,OK10317,Federal,Federal,2,Flood Risk Reduction,33.83022122,-96.57086832,Oklahoma,,No,Yes,,Earth,Earth,Earth,Rock,165,161,165,165,Greater than 100 feet,17200,18800000,1944,1940-1949,5194163,5194163,2580386,86910,39719,1050000,Uncontrolled,2000,5,High,Not Available,Yes
Link River Diversion,OR00557,Federal,Federal,0,Hydroelectric,42.2339,-121.8019,Oregon,1,No,Yes,No,Concrete,Concrete;Other;Buttress,,,22,20,22,22,Less than 25 feet,435,2200,1921,1920-1929,735000,735000,735000,85000,3800,12500,Controlled,252,4,High,Not Available,No
Grand Coulee Dam,WA00262,Federal,Federal,0,Flood Risk Reduction,47.9566,-118.9805,Washington,1,No,Yes,No,Concrete,Concrete;Gravity,,,550,380,550,550,Greater than 100 feet,5673,11975520,1941,1940-1949,9715346,9715346,9562000,82300,75117.12,265000,Controlled,1485,4,High,Not Available,No
J. Strom Thurmond Dam,GA01701,Federal,Federal,0,Hydroelectric,33.66117856,-82.19965703,Georgia,22,No,Yes,,Concrete,Concrete;Earth;Gravity,Earth,Rock,124,170,200,200,Greater than 100 feet,5680,4550000,1954,1950-1959,3820000,3820000,2510000,71000,6144,1055000,Controlled,920,5,High,Not Available,Yes
