"","oxideConc","time","solvent"
"1",1.04,0.7,"s1"
"2",0.12,0.1,"s1"
"3",0.13,0.1,"s1"
"4",1.54,0.7,"s1"
"5",1.28,0.7,"s1"
"6",1.18,0.55,"s1"
"7",1.14,0.7,"s1"
"8",1.31,0.7,"s1"
"9",0.91,0.55,"s1"
"10",0.47,0.25,"s1"
"11",1.04,0.7,"s1"
"12",-0.15,0.1,"s1"
"13",0.68,0.1,"s1"
"14",0.6,0.25,"s1"
"15",-0.13,0.1,"s1"
"16",0.83,0.7,"s2"
"17",-0.16,0.1,"s2"
"18",0.69,0.1,"s2"
"19",1.31,0.7,"s2"
"20",0.91,0.7,"s2"
"21",0.91,0.55,"s2"
"22",0.88,0.7,"s2"
"23",0.86,0.7,"s2"
"24",0.57,0.55,"s2"
"25",0.2,0.25,"s2"
"26",1.39,0.7,"s2"
"27",0.13,0.1,"s2"
"28",0.17,0.1,"s2"
"29",0.41,0.25,"s2"
"30",0.45,0.1,"s2"
"31",1.62,0.7,"s3"
"32",0,0.1,"s3"
"33",0.67,0.1,"s3"
"34",1.64,0.7,"s3"
"35",1.57,0.7,"s3"
"36",1.07,0.55,"s3"
"37",1.43,0.7,"s3"
"38",1.61,0.7,"s3"
"39",1.53,0.55,"s3"
"40",0.9,0.25,"s3"
"41",1.93,0.7,"s3"
"42",0.16,0.1,"s3"
"43",0.26,0.1,"s3"
"44",0.45,0.25,"s3"
"45",0.07,0.1,"s3"
