Age Range,M,F,Center
0-4,0.030377591,0.029067045,2
5-9,0.030955623,0.029603265,7
10-14,0.032560202,0.031153751,12
15-19,0.032731826,0.031445631,17
20-24,0.034207376,0.03303905,22
25-29,0.036689903,0.035319582,27
30-34,0.035354744,0.03428965,32
35-39,0.032805994,0.032497988,37
40-44,0.03056949,0.030743008,42
45-49,0.030117883,0.030467125,47
50-54,0.031176594,0.03099151,52
55-59,0.032332264,0.032749602,57
60-64,0.030361951,0.032082091,62
65-69,0.025574641,0.028258847,67
70-74,0.020076936,0.023290883,72
75-79,0.013072361,0.016316329,77
80-84,0.008476135,0.011043957,82
85-89,0.004648479,0.00716745,87
90-94,0.002124246,0.00407249,92
95-99,0.00054079,0.001352355,97
100+,6.28E-05,0.000230548,102
