date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,rain,ice,snow,freezingrain,smokehaze,thunder,hail,RLT,RHT
1/23/2018,46.9,70,0.83,0,0,15.66,240,42.05,Yes,No,No,No,No,No,No,No,355,356
1/24/2018,34,54,0,0,0,4.03,20,23.04,No,No,No,No,No,No,No,No,487,506
1/28/2018,52,60.1,1.3,0,0,5.14,20,19.01,Yes,No,No,No,No,No,No,No,310,455
2/7/2018,44.1,64.9,0.21,0,0,8.5,200,29.97,Yes,No,No,No,No,No,No,No,379,404
2/17/2018,39.9,55.9,0.06,0,0,6.93,80,25.95,Yes,No,No,No,No,No,No,No,426,485
3/2/2018,41,55,0,0,0,14.99,270,46.08,No,No,No,No,No,No,No,No,411,494
3/3/2018,35.1,57,0,0,0,8.72,350,29.08,No,No,No,No,No,No,No,No,475,478
3/12/2018,32,37.9,0.92,1.42,0,7.16,30,19.91,Yes,No,Yes,No,No,No,No,No,509,592
3/20/2018,36,57,1.05,0,0,8.72,40,27.07,Yes,No,Yes,No,No,No,Yes,Yes,467,478
4/1/2018,41,75,0,0,0,7.61,240,19.91,No,No,No,No,No,No,No,No,411,298
4/27/2018,54,73,0.01,0,0,4.92,260,19.91,No,No,No,No,No,No,No,No,286,320
5/1/2018,45,82.9,0,0,0,4.47,230,21.03,No,No,No,No,No,No,No,No,375,199
5/25/2018,64.9,86,0,0,0,5.82,230,16.11,No,No,No,No,No,No,No,No,161,163
5/26/2018,68,87.1,0.33,0,0,8.5,240,36.01,Yes,No,No,No,No,No,Yes,No,124,146
6/16/2018,64.9,90,0,0,0,4.47,220,14.99,No,No,No,No,No,No,No,No,161,93
6/18/2018,73.9,93.9,0,0,0,4.92,220,17,No,No,No,No,No,No,Yes,No,15,39
7/6/2018,71.1,93,0.34,0,0,3.8,200,21.92,Yes,No,No,No,No,Yes,Yes,No,54,50
7/8/2018,62.1,82,0,0,0,8.05,40,21.92,No,No,No,No,No,No,No,No,206,220
7/10/2018,59,91,0,0,0,2.46,10,18.12,No,No,No,No,No,No,No,No,239,79
7/16/2018,73.9,95,0,0,0,8.05,220,27.07,No,No,No,No,No,No,No,No,15,33
7/18/2018,72,89.1,0,0,0,6.71,80,19.01,Yes,No,No,No,No,No,No,No,36,115
7/19/2018,63,90,0,0,0,7.16,120,25.95,No,No,No,No,No,No,No,No,192,93
7/21/2018,69.1,88,0.01,0,0,6.71,50,21.92,No,No,No,No,No,No,No,No,101,132
7/23/2018,70,88,0.02,0,0,6.26,120,27.96,No,No,No,No,No,Yes,No,No,77,132
8/1/2018,73,90,0.02,0,0,9.17,170,23.04,Yes,No,No,No,No,No,Yes,No,21,93
8/27/2018,69.1,93,0,0,0,4.03,240,14.99,No,No,No,No,No,No,Yes,No,101,50
8/31/2018,69.1,91.9,0.27,0,0,3.8,300,21.03,Yes,No,No,No,No,No,Yes,No,101,63
9/28/2018,64.9,79,0.02,0,0,4.92,220,19.91,No,No,No,No,No,No,No,No,161,259
1/6/2007,50,71.1,0.13,0,0,8.05,230,21.92,Yes,Yes,No,No,No,No,No,No,331,339
1/9/2007,30,55,0,0,0,7.61,270,29.08,No,Yes,No,No,No,No,No,No,533,494
1/14/2007,50,73.9,0,0,0,8.5,230,25.05,No,No,No,No,No,No,No,No,331,308
1/15/2007,57,73.9,0,0,0,13.2,230,29.08,No,No,No,No,No,No,No,No,255,308
1/20/2007,26.1,48,0,0,0,4.92,320,21.03,No,No,No,No,No,No,No,No,566,547
1/22/2007,33.1,41,0.08,0,0,2.01,10,12.08,Yes,Yes,No,No,No,No,No,No,497,589
1/24/2007,30,48.9,0,0,0,2.91,50,17,Yes,No,No,No,No,No,No,No,533,537
1/27/2007,32,64,0,0,0,11.41,230,23.04,No,No,No,No,No,No,No,No,509,415
1/30/2007,24.1,48.9,0,0,0,5.82,220,21.03,No,No,No,No,No,No,No,No,577,537
2/8/2007,27,48,0,0,0,3.13,280,17.9,No,No,No,No,No,No,No,No,560,547
2/12/2007,26.1,64,0,0,0,4.03,220,23.04,No,No,No,No,No,No,No,No,566,415
2/13/2007,37.9,50,0.59,0,0,6.71,10,25.95,Yes,Yes,No,No,No,No,No,No,450,527
2/17/2007,19,48,0,0,0,7.61,200,29.08,No,No,No,No,No,No,No,No,590,547
2/21/2007,50,73,0.01,0,0,7.16,220,25.05,Yes,Yes,No,No,No,No,No,No,331,320
2/23/2007,37,55,0,0,0,7.61,260,25.05,No,No,No,No,No,No,No,No,460,494
2/28/2007,37.9,61,0,0,0,4.92,90,17,No,No,No,No,No,No,No,No,450,440
3/1/2007,41,66.9,0.2,0,0,10.29,150,34.9,Yes,Yes,No,No,No,No,No,No,411,392
3/11/2007,39.9,70,0,0,0,5.14,30,21.03,No,Yes,No,No,No,No,No,No,426,356
3/15/2007,57,81,0,0,0,9.4,210,25.95,No,Yes,No,No,No,No,No,No,255,240
3/17/2007,33.1,48.9,0,0,0,7.38,330,29.08,No,No,No,No,No,No,No,No,497,537
3/21/2007,50,63,0,0,0,9.17,90,25.95,No,No,No,No,No,No,No,No,331,425
3/23/2007,53.1,82.9,0,0,0,7.83,230,21.03,No,No,No,No,No,No,No,No,298,199
3/26/2007,44.1,73.9,0,0,0,6.04,210,21.92,No,No,No,No,No,No,No,No,379,308
4/3/2007,53.1,86,0,0,0,4.03,170,21.03,Yes,No,No,No,No,No,Yes,No,298,163
4/5/2007,41,57.9,0,0,0,3.58,320,23.94,No,No,No,No,No,No,No,No,411,466
4/8/2007,27,55.9,0,0,0,2.91,240,25.05,No,No,No,No,No,No,No,No,560,485
4/11/2007,46,59,0.73,0,0,6.49,150,25.05,Yes,Yes,No,No,No,Yes,Yes,No,367,463
4/15/2007,42.1,77,1.76,0,0,12.75,300,29.97,Yes,Yes,No,No,No,No,Yes,No,399,283
4/17/2007,46.9,72,0,0,0,7.61,320,29.08,No,No,No,No,No,No,No,No,355,334
4/18/2007,42.1,66.9,0,0,0,6.04,100,19.91,No,No,No,No,No,No,No,No,399,392
