"","pace","METS","age"
"1",7.67,11.5,20
"2",5.89,16.1,32
"3",12.64,5.9,30
"4",14.22,5.5,30
"5",14.46,4.4,27
"6",11.71,8,35
"7",6.5,14.9,32
"8",11.19,9.4,29
"9",13.18,6.6,27
"10",9.24,11.5,35
"11",13.27,5.7,24
"12",11.77,8.3,21
"13",9.22,11.3,24
"14",8.94,12.4,26
"15",10.83,10.8,24
"16",13.68,6.2,32
"17",13.02,6.8,19
"18",9.07,12.1,20
"19",6.63,13.5,20
"20",5.51,16,27
"21",5.73,14,20
"22",12.65,8.4,21
"23",10.81,10.3,32
"24",13.61,7,27
"25",9.74,10.5,34
"26",6.08,15,27
"27",11.98,8.8,24
"28",9.48,12.5,33
"29",6.47,14.1,23
"30",11.41,9.3,24
"31",5.72,15.1,30
"32",11.44,8.8,28
"33",9.01,10.4,30
"34",8.83,12.5,33
"35",9.82,8.6,34
"36",7.62,14.1,28
"37",11.96,8.3,22
"38",14.44,5.7,29
"39",7.11,14.6,21
"40",14.54,5,31
"41",8.22,14.1,23
"42",7.59,13.5,31
"43",8.5,12.1,25
"44",13.6,4.9,21
"45",14.78,4.1,30
