"","scores","week","section"
"1",23.6,1,"S1"
"2",28.5,1,"S1"
"3",29.6,1,"S1"
"4",28,1,"S1"
"5",24.5,1,"S1"
"6",22.9,1,"S1"
"7",24.3,1,"S1"
"8",23.9,1,"S1"
"9",26,1,"S1"
"10",20.9,1,"S1"
"11",27.9,1,"S1"
"12",20,1,"S1"
"13",17.6,1,"S1"
"14",26.3,1,"S1"
"15",27.1,1,"S1"
"16",30.1,1,"S1"
"17",28.6,1,"S1"
"18",26.1,1,"S1"
"19",28.5,1,"S1"
"20",20.1,1,"S1"
"21",19.3,1,"S1"
"22",22.4,1,"S2"
"23",28.7,1,"S2"
"24",31.8,1,"S2"
"25",33,1,"S2"
"26",35.9,1,"S2"
"27",30.1,1,"S2"
"28",27.9,1,"S2"
"29",25.2,1,"S2"
"30",29.8,1,"S2"
"31",28.2,1,"S2"
"32",26.9,1,"S2"
"33",25.1,1,"S2"
"34",23.5,1,"S2"
"35",23.6,1,"S2"
"36",35.8,1,"S2"
"37",29.8,1,"S2"
"38",26.3,1,"S2"
"39",20.6,1,"S2"
"40",25.4,1,"S3"
"41",21.9,1,"S3"
"42",24,1,"S3"
"43",23.4,1,"S3"
"44",28.3,1,"S3"
"45",24.1,1,"S3"
"46",23.5,1,"S3"
"47",36.3,1,"S3"
"48",29.8,1,"S3"
"49",25.1,1,"S3"
"50",20.7,1,"S3"
"51",30.3,1,"S3"
"52",19.7,1,"S3"
"53",24.2,1,"S3"
"54",28.7,1,"S3"
"55",22.3,1,"S3"
"56",22.6,1,"S3"
"57",26.6,1,"S3"
"58",25.1,1,"S3"
"59",23.2,1,"S3"
"60",23.4,1,"S3"
"61",25.7,1,"S3"
"62",26.7,1,"S3"
"63",41.5,3,"S1"
"64",32.9,3,"S1"
"65",41.6,3,"S1"
"66",27.7,3,"S1"
"67",31.8,3,"S1"
"68",28.2,3,"S1"
"69",36.5,3,"S1"
"70",37.1,3,"S1"
"71",28.2,3,"S1"
"72",35.2,3,"S1"
"73",30.4,3,"S1"
"74",37.5,3,"S1"
"75",27.2,3,"S1"
"76",39.3,3,"S1"
"77",34.8,3,"S1"
"78",29.8,3,"S1"
"79",34.6,3,"S1"
"80",33.7,3,"S1"
"81",33.2,3,"S1"
"82",27.5,3,"S1"
"83",32.1,3,"S1"
"84",34.6,3,"S2"
"85",28.1,3,"S2"
"86",37,3,"S2"
"87",42.4,3,"S2"
"88",39.4,3,"S2"
"89",31.5,3,"S2"
"90",32.2,3,"S2"
"91",33.2,3,"S2"
"92",38.5,3,"S2"
"93",35.3,3,"S2"
"94",30.8,3,"S2"
"95",27.9,3,"S2"
"96",38.3,3,"S2"
"97",30.3,3,"S2"
"98",38,3,"S2"
"99",35.9,3,"S2"
"100",39.1,3,"S2"
"101",41,3,"S2"
"102",22.1,3,"S3"
"103",34.3,3,"S3"
"104",32.6,3,"S3"
"105",27.7,3,"S3"
"106",29.1,3,"S3"
"107",31.6,3,"S3"
"108",32.5,3,"S3"
"109",20.6,3,"S3"
"110",36.5,3,"S3"
"111",22.2,3,"S3"
"112",18.8,3,"S3"
"113",34,3,"S3"
"114",21.6,3,"S3"
"115",28.1,3,"S3"
"116",22.5,3,"S3"
"117",20.2,3,"S3"
"118",27,3,"S3"
"119",32.4,3,"S3"
"120",30.8,3,"S3"
"121",26,3,"S3"
"122",29.1,3,"S3"
"123",28.7,3,"S3"
"124",29.1,3,"S3"
"125",42.8,5,"S1"
"126",46.8,5,"S1"
"127",39.6,5,"S1"
"128",46.9,5,"S1"
"129",43.3,5,"S1"
"130",43.3,5,"S1"
"131",48.5,5,"S1"
"132",42.9,5,"S1"
"133",40.1,5,"S1"
"134",39,5,"S1"
"135",48.3,5,"S1"
"136",33.3,5,"S1"
"137",42.9,5,"S1"
"138",45.9,5,"S1"
"139",38.1,5,"S1"
"140",45,5,"S1"
"141",48.4,5,"S1"
"142",35.9,5,"S1"
"143",40.6,5,"S1"
"144",53.8,5,"S1"
"145",41.7,5,"S1"
"146",37.7,5,"S2"
"147",38.2,5,"S2"
"148",40.3,5,"S2"
"149",43.4,5,"S2"
"150",39,5,"S2"
"151",43.5,5,"S2"
"152",46,5,"S2"
"153",44.2,5,"S2"
"154",46.2,5,"S2"
"155",38.5,5,"S2"
"156",41.9,5,"S2"
"157",45.8,5,"S2"
"158",42.8,5,"S2"
"159",43.6,5,"S2"
"160",42.8,5,"S2"
"161",43.4,5,"S2"
"162",42.4,5,"S2"
"163",37,5,"S2"
"164",34.9,5,"S3"
"165",31.7,5,"S3"
"166",41.2,5,"S3"
"167",31.4,5,"S3"
"168",34.8,5,"S3"
"169",24.1,5,"S3"
"170",30.7,5,"S3"
"171",29.9,5,"S3"
"172",40.2,5,"S3"
"173",33.2,5,"S3"
"174",34.7,5,"S3"
"175",35.5,5,"S3"
"176",31.3,5,"S3"
"177",35.5,5,"S3"
"178",41.5,5,"S3"
"179",37.1,5,"S3"
"180",37.6,5,"S3"
"181",29.8,5,"S3"
"182",34.9,5,"S3"
"183",35.5,5,"S3"
"184",30.7,5,"S3"
"185",34.6,5,"S3"
"186",43.9,5,"S3"
"187",50.1,7,"S1"
"188",57.8,7,"S1"
"189",49.6,7,"S1"
"190",56.8,7,"S1"
"191",49.8,7,"S1"
"192",58,7,"S1"
"193",48.7,7,"S1"
"194",55.1,7,"S1"
"195",61.7,7,"S1"
"196",53.9,7,"S1"
"197",54.5,7,"S1"
"198",62,7,"S1"
"199",65.2,7,"S1"
"200",67.4,7,"S1"
"201",53,7,"S1"
"202",49.7,7,"S1"
"203",58.3,7,"S1"
"204",57.2,7,"S1"
"205",61.4,7,"S1"
"206",55.8,7,"S1"
"207",55.8,7,"S1"
"208",57.1,7,"S2"
"209",50.3,7,"S2"
"210",52.9,7,"S2"
"211",51.9,7,"S2"
"212",49.3,7,"S2"
"213",46.8,7,"S2"
"214",47.8,7,"S2"
"215",39.8,7,"S2"
"216",55.9,7,"S2"
"217",41.5,7,"S2"
"218",46.5,7,"S2"
"219",47.6,7,"S2"
"220",55.5,7,"S2"
"221",49.8,7,"S2"
"222",54.2,7,"S2"
"223",48,7,"S2"
"224",57.9,7,"S2"
"225",51.9,7,"S2"
"226",41.5,7,"S3"
"227",43.2,7,"S3"
"228",31.4,7,"S3"
"229",38.7,7,"S3"
"230",39.9,7,"S3"
"231",35,7,"S3"
"232",38.9,7,"S3"
"233",35.2,7,"S3"
"234",39.9,7,"S3"
"235",29.9,7,"S3"
"236",40.2,7,"S3"
"237",35.6,7,"S3"
"238",43.5,7,"S3"
"239",28.9,7,"S3"
"240",39,7,"S3"
"241",37.7,7,"S3"
"242",43.5,7,"S3"
"243",30.9,7,"S3"
"244",36.1,7,"S3"
"245",42.4,7,"S3"
"246",41.9,7,"S3"
"247",40.6,7,"S3"
"248",40.2,7,"S3"
"249",56.7,9,"S1"
"250",69.3,9,"S1"
"251",66.1,9,"S1"
"252",55.9,9,"S1"
"253",64.1,9,"S1"
"254",69.8,9,"S1"
"255",68.5,9,"S1"
"256",61.8,9,"S1"
"257",69.5,9,"S1"
"258",63,9,"S1"
"259",66.9,9,"S1"
"260",69.6,9,"S1"
"261",67,9,"S1"
"262",61.7,9,"S1"
"263",69.1,9,"S1"
"264",72.4,9,"S1"
"265",60.4,9,"S1"
"266",64.1,9,"S1"
"267",70,9,"S1"
"268",60.7,9,"S1"
"269",56.4,9,"S1"
"270",54,9,"S2"
"271",61.8,9,"S2"
"272",49.7,9,"S2"
"273",55.3,9,"S2"
"274",61.3,9,"S2"
"275",56.7,9,"S2"
"276",59.3,9,"S2"
"277",64.6,9,"S2"
"278",61,9,"S2"
"279",59.5,9,"S2"
"280",59,9,"S2"
"281",50.7,9,"S2"
"282",60.7,9,"S2"
"283",59.2,9,"S2"
"284",58.5,9,"S2"
"285",56.8,9,"S2"
"286",50.1,9,"S2"
"287",57.3,9,"S2"
"288",49.9,9,"S3"
"289",40.5,9,"S3"
"290",34.6,9,"S3"
"291",52.8,9,"S3"
"292",40.8,9,"S3"
"293",49.3,9,"S3"
"294",46.7,9,"S3"
"295",51.9,9,"S3"
"296",43.4,9,"S3"
"297",42.1,9,"S3"
"298",52.3,9,"S3"
"299",54.4,9,"S3"
"300",45.2,9,"S3"
"301",44.4,9,"S3"
"302",47.3,9,"S3"
"303",40.2,9,"S3"
"304",46.1,9,"S3"
"305",38.7,9,"S3"
"306",42.1,9,"S3"
"307",47.6,9,"S3"
"308",39.8,9,"S3"
"309",47.9,9,"S3"
"310",46.1,9,"S3"
"311",82.2,11,"S1"
"312",85.8,11,"S1"
"313",72.1,11,"S1"
"314",77,11,"S1"
"315",82.8,11,"S1"
"316",76,11,"S1"
"317",71.7,11,"S1"
"318",70,11,"S1"
"319",82,11,"S1"
"320",88,11,"S1"
"321",69.8,11,"S1"
"322",75.6,11,"S1"
"323",67.2,11,"S1"
"324",75.3,11,"S1"
"325",73.5,11,"S1"
"326",74.9,11,"S1"
"327",89.5,11,"S1"
"328",68,11,"S1"
"329",77.2,11,"S1"
"330",84.2,11,"S1"
"331",71.9,11,"S1"
"332",59.4,11,"S2"
"333",63.7,11,"S2"
"334",70,11,"S2"
"335",61.8,11,"S2"
"336",58.4,11,"S2"
"337",63.9,11,"S2"
"338",53.4,11,"S2"
"339",56.1,11,"S2"
"340",68.9,11,"S2"
"341",65.8,11,"S2"
"342",52.6,11,"S2"
"343",66.6,11,"S2"
"344",52,11,"S2"
"345",61.3,11,"S2"
"346",65,11,"S2"
"347",56.4,11,"S2"
"348",69.8,11,"S2"
"349",69.6,11,"S2"
"350",45,11,"S3"
"351",54,11,"S3"
"352",49.4,11,"S3"
"353",51.7,11,"S3"
"354",51.8,11,"S3"
"355",42,11,"S3"
"356",38.3,11,"S3"
"357",59.4,11,"S3"
"358",49.6,11,"S3"
"359",50.3,11,"S3"
"360",42.4,11,"S3"
"361",54.1,11,"S3"
"362",57.6,11,"S3"
"363",56,11,"S3"
"364",38.3,11,"S3"
"365",43.2,11,"S3"
"366",48.9,11,"S3"
"367",51.9,11,"S3"
"368",45.7,11,"S3"
"369",44.1,11,"S3"
"370",49.5,11,"S3"
"371",43.7,11,"S3"
"372",58.6,11,"S3"
"373",75.9,13,"S1"
"374",87.5,13,"S1"
"375",75,13,"S1"
"376",82.5,13,"S1"
"377",92.4,13,"S1"
"378",90.6,13,"S1"
"379",78,13,"S1"
"380",77.6,13,"S1"
"381",85.3,13,"S1"
"382",80.2,13,"S1"
"383",87,13,"S1"
"384",80.1,13,"S1"
"385",76.9,13,"S1"
"386",82.8,13,"S1"
"387",78.9,13,"S1"
"388",90.4,13,"S1"
"389",83.3,13,"S1"
"390",84.8,13,"S1"
"391",91.9,13,"S1"
"392",94.3,13,"S1"
"393",84.7,13,"S1"
"394",72.2,13,"S2"
"395",77,13,"S2"
"396",69.6,13,"S2"
"397",65.3,13,"S2"
"398",75.5,13,"S2"
"399",62.9,13,"S2"
"400",69.3,13,"S2"
"401",68.5,13,"S2"
"402",67.9,13,"S2"
"403",56.7,13,"S2"
"404",67.6,13,"S2"
"405",76.8,13,"S2"
"406",68.2,13,"S2"
"407",67.4,13,"S2"
"408",67.2,13,"S2"
"409",66.1,13,"S2"
"410",71.2,13,"S2"
"411",73.5,13,"S2"
"412",60.4,13,"S3"
"413",45.4,13,"S3"
"414",55.2,13,"S3"
"415",52.4,13,"S3"
"416",54.6,13,"S3"
"417",48,13,"S3"
"418",53.4,13,"S3"
"419",47.4,13,"S3"
"420",56.5,13,"S3"
"421",48.5,13,"S3"
"422",53.5,13,"S3"
"423",42.6,13,"S3"
"424",54.8,13,"S3"
"425",58.7,13,"S3"
"426",57,13,"S3"
"427",58.5,13,"S3"
"428",46.4,13,"S3"
"429",52.4,13,"S3"
"430",52.9,13,"S3"
"431",56.8,13,"S3"
"432",52.4,13,"S3"
"433",52.2,13,"S3"
"434",61.6,13,"S3"
