"","student","scores.1","section.1","scores.3","section.3","scores.5","section.5","scores.7","section.7"
"1",1,24,"S1",35,"S1",49.1,"S1",52,"S1"
"2",2,24.3,"S1",35.5,"S1",49.5,"S1",55.4,"S1"
"3",3,25.6,"S1",31.2,"S1",50.7,"S1",62.9,"S1"
"4",4,34.3,"S1",36.5,"S1",46.4,"S1",52.7,"S1"
"5",5,14.6,"S1",40,"S1",40.3,"S1",49.2,"S1"
"6",6,30.2,"S1",30.1,"S1",45.7,"S1",58.6,"S1"
"7",7,21.2,"S1",40,"S1",36.2,"S1",51.1,"S1"
"8",8,29.7,"S1",31.8,"S1",50.8,"S1",53.7,"S1"
"9",9,22.8,"S1",37.2,"S1",47.5,"S1",57.5,"S1"
"10",10,29.3,"S1",28.1,"S1",48.5,"S1",57.3,"S1"
"11",11,23.9,"S1",35.9,"S1",45.8,"S1",60.9,"S1"
"12",12,21.9,"S1",41.6,"S1",33,"S1",51.6,"S1"
"13",13,18.9,"S1",34.6,"S1",42,"S1",53.4,"S1"
"14",14,20,"S1",27.1,"S1",49.7,"S1",51.7,"S1"
"15",15,23.2,"S1",43.2,"S1",43.6,"S1",54.2,"S1"
"16",16,24.8,"S1",30.9,"S1",49.2,"S1",64.9,"S1"
"17",17,27.6,"S1",30.1,"S1",40.3,"S1",54.7,"S1"
"18",18,24.6,"S1",31.9,"S1",46.3,"S1",54.9,"S1"
"19",19,31.2,"S1",30,"S1",42.3,"S1",57.6,"S1"
"20",20,18.8,"S1",36,"S1",41.8,"S1",48.9,"S1"
"21",21,27.8,"S1",36.7,"S1",44.1,"S1",59.8,"S1"
"22",22,34.6,"S2",38.2,"S2",58.6,"S2",59.7,"S2"
"23",23,32.6,"S2",44.1,"S2",50.9,"S2",56.5,"S2"
"24",24,29.4,"S2",42.2,"S2",51.1,"S2",61.9,"S2"
"25",25,27.5,"S2",33.6,"S2",58,"S2",59.1,"S2"
"26",26,23,"S2",43.3,"S2",48.6,"S2",59.2,"S2"
"27",27,22.3,"S2",33.5,"S2",52.6,"S2",59.4,"S2"
"28",28,33.5,"S2",39.6,"S2",46.4,"S2",67.7,"S2"
"29",29,28.4,"S2",38.6,"S2",54.2,"S2",57.2,"S2"
"30",30,22.4,"S2",36,"S2",43.3,"S2",64.8,"S2"
"31",31,32.6,"S2",45.6,"S2",49.7,"S2",60.8,"S2"
"32",32,33.9,"S2",40.1,"S2",55.6,"S2",58.6,"S2"
"33",33,19.2,"S2",42.6,"S2",56.7,"S2",56.8,"S2"
"34",34,39.2,"S2",39.8,"S2",49.6,"S2",58.2,"S2"
"35",35,36.2,"S2",35.6,"S2",38.1,"S2",58.6,"S2"
"36",36,23.7,"S2",42.9,"S2",58.2,"S2",65.5,"S2"
"37",37,26,"S2",36,"S2",46.9,"S2",56.1,"S2"
"38",38,31,"S2",44.2,"S2",53.6,"S2",68.2,"S2"
"39",39,31.8,"S2",52.1,"S2",41.5,"S2",59.1,"S2"
"40",40,18.5,"S3",31.2,"S3",32.3,"S3",36.2,"S3"
"41",41,21.3,"S3",32.9,"S3",42.7,"S3",36,"S3"
"42",42,39.9,"S3",31.7,"S3",36.2,"S3",40.4,"S3"
"43",43,29.2,"S3",35.8,"S3",36.2,"S3",48.2,"S3"
"44",44,31.5,"S3",23.3,"S3",39,"S3",38.4,"S3"
"45",45,20.5,"S3",24.7,"S3",27.7,"S3",39,"S3"
"46",46,23,"S3",29.9,"S3",34.7,"S3",40.5,"S3"
"47",47,17.7,"S3",29.2,"S3",36.9,"S3",39.8,"S3"
"48",48,26.3,"S3",23.7,"S3",40.2,"S3",35.8,"S3"
"49",49,24.2,"S3",20.7,"S3",30.5,"S3",44.4,"S3"
"50",50,36.1,"S3",27.1,"S3",35.7,"S3",33.3,"S3"
"51",51,22.9,"S3",37.7,"S3",37.8,"S3",34.6,"S3"
"52",52,24.6,"S3",40.7,"S3",53.1,"S3",37.4,"S3"
"53",53,19.8,"S3",33.7,"S3",42.4,"S3",38.1,"S3"
"54",54,25.7,"S3",21.4,"S3",22.6,"S3",44.8,"S3"
"55",55,20.6,"S3",33.2,"S3",34.6,"S3",36.4,"S3"
"56",56,19.3,"S3",26.8,"S3",35.5,"S3",38.6,"S3"
"57",57,24,"S3",30.1,"S3",38.6,"S3",37.8,"S3"
"58",58,20,"S3",32.9,"S3",31,"S3",47.5,"S3"
"59",59,20.2,"S3",37.8,"S3",39.5,"S3",46.7,"S3"
"60",60,27,"S3",30.2,"S3",31,"S3",34.2,"S3"
"61",61,29.9,"S3",26,"S3",34,"S3",41.7,"S3"
"62",62,28.8,"S3",33.3,"S3",37.5,"S3",33,"S3"
