Instrument , AgWt
1, 107.8681568
1, 107.8681465
1, 107.8681572
1, 107.8681785
1, 107.8681446
1, 107.8681903
1, 107.8681526
1, 107.8681494
1, 107.8681616
1, 107.8681587
1, 107.8681519
1, 107.8681486
1, 107.8681419
1, 107.8681569
1, 107.8681508
1, 107.8681672
1, 107.8681385
1, 107.8681518
1, 107.8681662
1, 107.8681424
1, 107.8681360
1, 107.8681333
1, 107.8681610
1, 107.8681477
2, 107.8681079
2, 107.8681344
2, 107.8681513
2, 107.8681197
2, 107.8681604
2, 107.8681385
2, 107.8681642
2, 107.8681365
2, 107.8681151
2, 107.8681082
2, 107.8681517
2, 107.8681448
2, 107.8681198
2, 107.8681482
2, 107.8681334
2, 107.8681609
2, 107.8681101
2, 107.8681512
2, 107.8681469
2, 107.8681360
2, 107.8681254
2, 107.8681261
2, 107.8681450
2, 107.8681368
