STATE, Pop, Wine, PROD,WinePerPop
ME,1171,2737,0,2.34
NH,1027,3353,0,3.26
VT,540,1977,0,3.66
MA,5835,19747,0,3.38
RI,975,3301,0,3.39
CT,3194,10448,0,3.27
NY,17805,56390,1,3.17
NJ,7625,27194,0,3.57
PA,11895,15624,1,1.31
OH,10778,16825,1,1.56
IN,5503,7810,0,1.42
IL,11553,27680,0,2.40
MI,9143,18837,1,2.06
WI,4784,8725,0,1.82
MN,4213,8718,0,2.07
IA,2840,4082,0,1.44
MO,5066,8703,1,1.72
ND,678,893,0,1.32
SD,708,826,0,1.17
NE,1598,2231,0,1.40
KS,2459,2509,0,1.02
DE,637,1758,0,2.76
MD,4461,10960,1,2.46
DC,625,4123,1,6.60
VA,5798,9838,1,1.70
WV,1917,1578,0,0.82
NC,6327,11781,0,1.86
SC,3381,5599,0,1.66
GA,6101,9902,0,1.62
FL,11688,31989,0,2.74
KY,3722,3164,0,0.85
TN,4800,4770,0,0.99
AL,4051,4348,0,1.07
MS,2624,1522,0,0.58
AR,2371,1342,1,0.57
LA,4497,6828,0,1.52
OK,3300,3060,0,0.93
TX,16682,29749,0,1.78
MT,817,1676,0,2.05
ID,1003,2234,0,2.23
WY,507,763,0,1.50
CO,3265,9300,0,2.85
NM,1477,3103,0,2.10
AZ,3280,9046,0,2.76
UT,1664,1481,0,0.89
NV,966,5298,0,5.48
WA,4461,16760,1,3.76
OR,2703,9162,1,3.39
CA,26997,130159,1,4.82
AK,531,1710,0,3.22
HI,1064,2874,0,2.70
